四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
かすか	名詞,形容動詞語幹,*,*,*,*,かすか,カスカ,カスカ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
希望	名詞,サ変接続,*,*,*,*,希望,キボウ,キボー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
はる	動詞,非自立,*,*,五段・ラ行,基本形,はる,ハル,ハル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
皆	名詞,代名詞,一般,*,*,*,皆,ミナ,ミナ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
相談	名詞,サ変接続,*,*,*,*,相談,ソウダン,ソーダン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
都合	名詞,一般,*,*,*,*,都合,ツゴウ,ツゴー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
つか	動詞,自立,*,*,五段・カ行イ音便,未然形,つく,ツカ,ツカ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ,s
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
困難	名詞,形容動詞語幹,*,*,*,*,困難,コンナン,コンナン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
もし	副詞,一般,*,*,*,*,もし,モシ,モシ,s
仮に	副詞,一般,*,*,*,*,仮に,カリニ,カリニ,s
成功	名詞,サ変接続,*,*,*,*,成功,セイコウ,セイコー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
一生	名詞,副詞可能,*,*,*,*,一生,イッショウ,イッショー,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
薬	名詞,一般,*,*,*,*,薬,クスリ,クスリ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
飲ん	動詞,自立,*,*,五段・マ行,連用タ接続,飲む,ノン,ノン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
いか	副詞,一般,*,*,*,*,いか,イカ,イカ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
拒絶	名詞,サ変接続,*,*,*,*,拒絶,キョゼツ,キョゼツ,s
反応	名詞,サ変接続,*,*,*,*,反応,ハンノウ,ハンノー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
薬	名詞,一般,*,*,*,*,薬,クスリ,クスリ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
飲ん	動詞,自立,*,*,五段・マ行,連用タ接続,飲む,ノン,ノン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なん	動詞,自立,*,*,五段・ラ行撥音便,基本形,なる,ナン,ナン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
薬	名詞,一般,*,*,*,*,薬,クスリ,クスリ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ものすご	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ものすごい,モノスゴ,モノスゴ,s
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
、	記号,読点,*,*,*,*,、,、,、,i
さらに	接続詞,*,*,*,*,*,さらに,サラニ,サラニ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
さらに	副詞,助詞類接続,*,*,*,*,さらに,サラニ,サラニ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
借金	名詞,サ変接続,*,*,*,*,借金,シャッキン,シャッキン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
増える	動詞,自立,*,*,一段,基本形,増える,フエル,フエル,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,よい,ヨウ,ヨー,s
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
移植	名詞,サ変接続,*,*,*,*,移植,イショク,イショク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
博士	名詞,一般,*,*,*,*,博士,ハカセ,ハカセ,s
号	名詞,接尾,助数詞,*,*,*,号,ゴウ,ゴー,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
成功	名詞,サ変接続,*,*,*,*,成功,セイコウ,セイコー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
株	名詞,一般,*,*,*,*,株,カブ,カブ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
上がる	動詞,自立,*,*,五段・ラ行,基本形,上がる,アガル,アガル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
株	名詞,一般,*,*,*,*,株,カブ,カブ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
成功	名詞,サ変接続,*,*,*,*,成功,セイコウ,セイコー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
やり	動詞,自立,*,*,五段・ラ行,連用形,やる,ヤリ,ヤリ,s
たかっ	助動詞,*,*,*,特殊・タイ,連用タ接続,たい,タカッ,タカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
オペ	名詞,一般,*,*,*,*,オペ,オペ,オペ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たかっ	助動詞,*,*,*,特殊・タイ,連用タ接続,たい,タカッ,タカッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
心臓	名詞,一般,*,*,*,*,心臓,シンゾウ,シンゾー,s
移植	名詞,サ変接続,*,*,*,*,移植,イショク,イショク,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それだけ	副詞,助詞類接続,*,*,*,*,それだけ,ソレダケ,ソレダケ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
たまたま	副詞,一般,*,*,*,*,たまたま,タマタマ,タマタマ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
断っ	動詞,自立,*,*,五段・ラ行,連用タ接続,断る,コトワッ,コトワッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあまあ	副詞,一般,*,*,*,*,まあまあ,マアマア,マーマー,s
、	記号,読点,*,*,*,*,、,、,、,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
ませ	助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せっかく	副詞,一般,*,*,*,*,せっかく,セッカク,セッカク,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
お断り	名詞,サ変接続,*,*,*,*,お断り,オコトワリ,オコトワリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
分かり	動詞,自立,*,*,五段・ラ行,連用形,分かる,ワカリ,ワカリ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
はっ	感動詞,*,*,*,*,*,はっ,ハッ,ハッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一	名詞,数,*,*,*,*,一,イチ,イチ,s
週間	名詞,接尾,助数詞,*,*,*,週間,シュウカン,シューカン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
主治医	名詞,一般,*,*,*,*,主治医,シュジイ,シュジイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
コロッと	副詞,一般,*,*,*,*,コロッと,コロット,コロット,s
変わる	動詞,自立,*,*,五段・ラ行,基本形,変わる,カワル,カワル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
若い	形容詞,自立,*,*,形容詞・アウオ段,基本形,若い,ワカイ,ワカイ,s
若い	形容詞,自立,*,*,形容詞・アウオ段,基本形,若い,ワカイ,ワカイ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
研修	名詞,サ変接続,*,*,*,*,研修,ケンシュウ,ケンシュー,s
医	名詞,接尾,一般,*,*,*,医,イ,イ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
手のひら	名詞,一般,*,*,*,*,手のひら,テノヒラ,テノヒラ,s
返す	動詞,自立,*,*,五段・サ行,基本形,返す,カエス,カエス,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
断っ	動詞,自立,*,*,五段・ラ行,連用タ接続,断る,コトワッ,コトワッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
途端	名詞,非自立,副詞可能,*,*,*,途端,トタン,トタン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
命	名詞,一般,*,*,*,*,命,イノチ,イノチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
っと	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
、	記号,読点,*,*,*,*,、,、,、,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
万	副詞,一般,*,*,*,*,万,バン,バン,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
助かる	動詞,自立,*,*,五段・ラ行,基本形,助かる,タスカル,タスカル,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
へん	名詞,非自立,一般,*,*,*,へん,ヘン,ヘン,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それも	接続詞,*,*,*,*,*,それも,ソレモ,ソレモ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー,s
、	記号,読点,*,*,*,*,、,、,、,s
チャレンジ	名詞,サ変接続,*,*,*,*,チャレンジ,チャレンジ,チャレンジ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
挑戦	名詞,サ変接続,*,*,*,*,挑戦,チョウセン,チョーセン,s
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
