普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
、	記号,読点,*,*,*,*,、,、,、,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
おっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
進み	動詞,自立,*,*,五段・マ行,連用形,進む,ススミ,ススミ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
せえ	動詞,自立,*,*,サ変・スル,未然形・長音化,する,セエ,セー,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
、	記号,読点,*,*,*,*,、,、,、,s
遊ん	動詞,自立,*,*,五段・バ行,連用タ接続,遊ぶ,アソン,アソン,s
どる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,ドル,ドル,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
外	名詞,一般,*,*,*,*,外,ソト,ソト,s
出え	動詞,自立,*,*,一段,命令k,出る,デエ,デー,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
わざわざ	副詞,助詞類接続,*,*,*,*,わざわざ,ワザワザ,ワザワザ,s
金	名詞,一般,*,*,*,*,金,キン,キン,s
出し	動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もろ	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続,もらう,モロ,モロ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
小坂	名詞,固有名詞,地域,一般,*,*,小坂,コサカ,コサカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
翠川	名詞,固有名詞,一般,*,*,*,翠川,翠川,翠川,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
翠川	名詞,固有名詞,一般,*,*,*,翠川,翠川,翠川,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
代ゼミ	名詞,固有名詞,組織,*,*,*,代ゼミ,ヨゼミ,ヨゼミ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
ね	名詞,非自立,*,*,*,縮約形,なの,ネ,ネ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
代予林ゼミナール	名詞,固有名詞,一般,*,*,*,代予林ゼミナール,代予林ゼミナール,代予林ゼミナール,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
、	記号,読点,*,*,*,*,、,、,、,s
下宿	名詞,サ変接続,*,*,*,*,下宿,ゲシュク,ゲシュク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
それなり	副詞,助詞類接続,*,*,*,*,それなり,ソレナリ,ソレナリ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
あほ	名詞,形容動詞語幹,*,*,*,*,あほ,アホ,アホ,s
なり	助詞,副助詞,*,*,*,*,なり,ナリ,ナリ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
藍工	名詞,固有名詞,一般,*,*,*,藍工,藍工,藍工,s
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へえ	感動詞,*,*,*,*,*,へえ,ヘエ,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あほ	接頭詞,名詞接続,*,*,*,*,あほ,アホ,アホ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あほ	名詞,形容動詞語幹,*,*,*,*,あほ,アホ,アホ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ,i
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
難しい	形容詞,自立,*,*,形容詞・イ段,基本形,難しい,ムズカシイ,ムズカシイ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
あんた	名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,s
だって	助詞,副助詞,*,*,*,*,だって,ダッテ,ダッテ,s
、	記号,読点,*,*,*,*,、,、,、,s
石	名詞,一般,*,*,*,*,石,イシ,イシ,s
学	名詞,接尾,一般,*,*,*,学,ガク,ガク,s
なんて	助詞,副助詞,*,*,*,*,なんて,ナンテ,ナンテ,s
ごっつ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ごっつい,ゴッツ,ゴッツ,s
賢い	形容詞,自立,*,*,形容詞・アウオ段,基本形,賢い,カシコイ,カシコイ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
おとん	名詞,一般,*,*,*,*,おとん,オトン,オトン,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
石	名詞,一般,*,*,*,*,石,イシ,イシ,s
学	名詞,接尾,一般,*,*,*,学,ガク,ガク,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
行ける	動詞,自立,*,*,一段,基本形,行ける,イケル,イケル,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
石	名詞,一般,*,*,*,*,石,イシ,イシ,s
大	名詞,一般,*,*,*,*,大,ダイ,ダイ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,s
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
甲	名詞,一般,*,*,*,*,甲,コウ,コー,s
北	名詞,一般,*,*,*,*,北,キタ,キタ,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,s
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
甲	名詞,一般,*,*,*,*,甲,コウ,コー,s
北	名詞,一般,*,*,*,*,北,キタ,キタ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
行け	動詞,自立,*,*,五段・カ行促音便,未然形・母音調和,行く,イカ,イカ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
翠川	名詞,固有名詞,一般,*,*,*,翠川,翠川,翠川,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
石	名詞,一般,*,*,*,*,石,イシ,イシ,i
大	名詞,接尾,一般,*,*,*,大,ダイ,ダイ,i
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
近い	形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
近い	形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ,s
近い	形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
石	名詞,一般,*,*,*,*,石,イシ,イシ,s
大	名詞,接尾,一般,*,*,*,大,ダイ,ダイ,s
横	名詞,一般,*,*,*,*,横,ヨコ,ヨコ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
翠川	名詞,固有名詞,一般,*,*,*,翠川,翠川,翠川,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
石	名詞,一般,*,*,*,*,石,イシ,イシ,i
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,i
行け	動詞,自立,*,*,一段,連用形,行ける,イケ,イケ,i
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
良かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,良い,ヨカッ,ヨカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
石	名詞,一般,*,*,*,*,石,イシ,イシ,s
大	名詞,一般,*,*,*,*,大,ダイ,ダイ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
頭	名詞,一般,*,*,*,*,頭,アタマ,アタマ,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
良かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,良い,ヨカッ,ヨカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
おかん	名詞,一般,*,*,*,*,おかん,オカン,オカン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
会う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,会う,オウ,オー,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
なに	名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
人間	名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン,s
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
転ぶ	動詞,自立,*,*,五段・バ行,基本形,転ぶ,コロブ,コロブ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あんた	名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
おら	動詞,自立,*,*,五段・ラ行,未然形,おる,オラ,オラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
すべて	名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
うまい	形容詞,自立,*,*,形容詞・アウオ段,基本形,うまい,ウマイ,ウマイ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
いっ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,s
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン,s
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
また	副詞,助詞類接続,*,*,*,*,また,マタ,マタ,s
変わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,変わる,カワッ,カワッ,s
とう	助動詞,*,*,*,特殊・タ,基本形,とう,トウ,トー,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
しれ	動詞,自立,*,*,一段,未然形,しれる,シレ,シレ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
別	名詞,形容動詞語幹,*,*,*,*,別,ベツ,ベツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人生	名詞,一般,*,*,*,*,人生,ジンセイ,ジンセイ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
あんた	名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
存在	名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
すべて	名詞,副詞可能,*,*,*,*,すべて,スベテ,スベテ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
転ん	動詞,自立,*,*,五段・バ行,連用タ接続,転ぶ,コロン,コロン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
転ん	動詞,自立,*,*,五段・バ行,連用タ接続,転ぶ,コロン,コロン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
転ん	動詞,自立,*,*,五段・バ行,連用タ接続,転ぶ,コロン,コロン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
転ん	動詞,自立,*,*,五段・バ行,連用タ接続,転ぶ,コロン,コロン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
浪	名詞,接尾,助数詞,*,*,*,浪,ロウ,ロー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
転ん	動詞,自立,*,*,五段・バ行,連用タ接続,転ぶ,コロン,コロン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
いっ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
藍	名詞,一般,*,*,*,*,藍,アイ,アイ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
おかん	名詞,一般,*,*,*,*,おかん,オカン,オカン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
でおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,であう,デオウ,デオー,s
とん	動詞,非自立,*,*,五段・ラ行撥音便,基本形・縮約形,て＋おる,トン,トン,s
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ええ	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,i
入る	動詞,自立,*,*,五段・ラ行,基本形,入る,ハイル,ハイル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,i
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
どっか	名詞,代名詞,一般,*,*,*,どっか,ドッカ,ドッカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
いっこ	名詞,副詞可能,*,*,*,*,いっこ,イッコ,イッコ,s
転ん	動詞,自立,*,*,五段・バ行,連用タ接続,転ぶ,コロン,コロン,s
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
おかん	名詞,一般,*,*,*,*,おかん,オカン,オカン,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
存在	名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
腰	名詞,一般,*,*,*,*,腰,コシ,コシ,s
いた	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,いたい,イタ,イタ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
とう	助動詞,*,*,*,特殊・タ,基本形,とう,トウ,トー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
どうか	副詞,一般,*,*,*,*,どうか,ドウカ,ドーカ,s
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
けども	助詞,接続助詞,*,*,*,*,けども,ケドモ,ケドモ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
人生	名詞,一般,*,*,*,*,人生,ジンセイ,ジンセイ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
転ん	動詞,自立,*,*,五段・バ行,連用タ接続,転ぶ,コロン,コロン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ああ	副詞,助詞類接続,*,*,*,*,ああ,アア,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
あんた	名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,s
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,s
