いけ	動詞,自立,*,*,一段,連用形,いける,イケ,イケ,i
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
産ん	動詞,自立,*,*,五段・マ行,連用タ接続,産む,ウン,ウン,i
で	助詞,接続助詞,*,*,*,*,で,デ,デ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
戻る	動詞,自立,*,*,五段・ラ行,基本形,戻る,モドル,モドル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
産ん	動詞,自立,*,*,五段・マ行,連用タ接続,産む,ウン,ウン,i
で	助詞,接続助詞,*,*,*,*,で,デ,デ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
最中	名詞,一般,*,*,*,*,最中,サイチュウ,サイチュー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
、	記号,読点,*,*,*,*,、,、,、,i
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
痛	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,痛い,イタ,イタ,i
すぎ	動詞,自立,*,*,一段,連用形,すぎる,スギ,スギ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
死ぬ	動詞,自立,*,*,五段・ナ行,基本形,死ぬ,シヌ,シヌ,i
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
あり	動詞,自立,*,*,ラ変,連用形,あり,アリ,アリ,i
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
産ん	動詞,自立,*,*,五段・マ行,連用タ接続,産む,ウン,ウン,s
だら	助動詞,*,*,*,特殊・タ,仮定形,だ,ダラ,ダラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
楽に	副詞,一般,*,*,*,*,楽に,ラクニ,ラクニ,s
なん	動詞,自立,*,*,五段・ラ行撥音便,基本形,なる,ナン,ナン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
感覚	名詞,一般,*,*,*,*,感覚,カンカク,カンカク,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ポジティブ	名詞,形容動詞語幹,*,*,*,*,ポジティブ,ポジティブ,ポジティブ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あと	接続詞,*,*,*,*,*,アト,アト,アト,s
、	記号,読点,*,*,*,*,、,、,、,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
時間	名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
来る	動詞,非自立,*,*,カ変・来ル,基本形,来る,クル,クル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
病気	名詞,サ変接続,*,*,*,*,病気,ビョウキ,ビョーキ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
嬉しい	形容詞,自立,*,*,形容詞・イ段,基本形,嬉しい,ウレシイ,ウレシイ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ,i
耐えれる	動詞,自立,*,*,一段・可能,基本形,耐えれる,タエレル,タエレル,i
と	助詞,接続助詞,*,*,*,*,と,ト,ト,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
感じ	動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
どんなん	名詞,一般,副詞可能,*,*,*,どんなん,ドンナン,ドンナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
痛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,痛い,イタイ,イタイ,s
、	記号,読点,*,*,*,*,、,、,、,s
怖い	形容詞,自立,*,*,形容詞・アウオ段,基本形,怖い,コワイ,コワイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
すごい	副詞,一般,*,*,*,*,すごい,スゴイ,スゴイ,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
病気	名詞,サ変接続,*,*,*,*,病気,ビョウキ,ビョーキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
辛	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,辛い,ツラ,ツラ,s
さ	名詞,接尾,特殊,*,*,*,さ,サ,サ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
すごく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,すごい,スゴク,スゴク,s
感じ	動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン,s
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
会える	動詞,自立,*,*,一段,基本形,会える,アエル,アエル,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
楽しみ	名詞,一般,*,*,*,*,楽しみ,タノシミ,タノシミ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
勝つ	動詞,自立,*,*,五段・タ行,基本形,勝つ,カツ,カツ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ちゃんと	副詞,一般,*,*,*,*,ちゃんと,チャント,チャント,s
産ま	動詞,自立,*,*,五段・マ行,未然形,産む,ウマ,ウマ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
詰まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,詰まる,ツマッ,ツマッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
しまっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,しまう,シマッ,シマッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
、	記号,読点,*,*,*,*,、,、,、,s
どういう	連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,s
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
分から	動詞,自立,*,*,五段・ラ行,未然形,分かる,ワカラ,ワカラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ちゃんと	副詞,一般,*,*,*,*,ちゃんと,チャント,チャント,s
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
すごく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,すごい,スゴク,スゴク,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
何人	名詞,一般,*,*,*,*,何人,ナニビト,ナニビト,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
ほしい	形容詞,自立,*,*,形容詞・イ段,基本形,ほしい,ホシイ,ホシイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
三	名詞,数,*,*,*,*,三,サン,サン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
どう	助動詞,*,*,*,特殊・タ,基本形,どう,ドウ,ドー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
三	名詞,数,*,*,*,*,三,サン,サン,i
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
一人	名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,i
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,i
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,i
と	助詞,接続助詞,*,*,*,*,と,ト,ト,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
思い	動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,i
、	記号,読点,*,*,*,*,、,、,、,i
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ううん	感動詞,*,*,*,*,*,ううん,ウウン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
あたし	名詞,代名詞,一般,*,*,*,あたし,アタシ,アタシ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
産み	動詞,自立,*,*,五段・マ行,連用形,産む,ウミ,ウミ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
喧嘩	名詞,サ変接続,*,*,*,*,喧嘩,ケンカ,ケンカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
楽しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,楽しい,タノシカッ,タノシカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
すごく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,すごい,スゴク,スゴク,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
旦那	名詞,一般,*,*,*,*,旦那,ダンナ,ダンナ,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
姉さん	名詞,一般,*,*,*,*,姉さん,ネエサン,ネーサン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
主人	名詞,一般,*,*,*,*,主人,シュジン,シュジン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
兄弟	名詞,一般,*,*,*,*,兄弟,キョウダイ,キョーダイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
一人っ子	名詞,一般,*,*,*,*,一人っ子,ヒトリッコ,ヒトリッコ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
い	動詞,自立,*,*,一段,未然形,いる,イ,イ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
男の子	名詞,一般,*,*,*,*,男の子,オトコノコ,オトコノコ,i
三	名詞,数,*,*,*,*,三,サン,サン,i
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,i
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そしたら	接続詞,*,*,*,*,*,そしたら,ソシタラ,ソシタラ,i
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,i
すごい	副詞,一般,*,*,*,*,すごい,スゴイ,スゴイ,i
激しい	形容詞,自立,*,*,形容詞・イ段,基本形,激しい,ハゲシイ,ハゲシイ,i
喧嘩	名詞,サ変接続,*,*,*,*,喧嘩,ケンカ,ケンカ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
意外と	副詞,一般,*,*,*,*,意外と,イガイト,イガイト,s
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
逆に	接続詞,*,*,*,*,*,逆に,ギャクニ,ギャクニ,i
仲	名詞,一般,*,*,*,*,仲,ナカ,ナカ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
もちろん	副詞,一般,*,*,*,*,もちろん,モチロン,モチロン,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
兄ちゃん	名詞,一般,*,*,*,*,兄ちゃん,ニイチャン,ニーチャン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
兄ちゃん	名詞,一般,*,*,*,*,兄ちゃん,ニイチャン,ニーチャン,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
下	名詞,一般,*,*,*,*,下,シタ,シタ,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
毎日	名詞,副詞可能,*,*,*,*,毎日,マイニチ,マイニチ,s
毎日	名詞,副詞可能,*,*,*,*,毎日,マイニチ,マイニチ,s
よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,よい,ヨウ,ヨー,s
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
仲良い	形容詞,自立,*,*,形容詞・アウオ段,基本形,仲良い,ナカヨイ,ナカヨイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
楽しい	形容詞,自立,*,*,形容詞・イ段,基本形,楽しい,タノシイ,タノシイ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
