まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
鶏	名詞,一般,*,*,*,*,鶏,ニワトリ,ニワトリ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
皮	名詞,一般,*,*,*,*,皮,カワ,カワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
皮	名詞,接尾,一般,*,*,*,皮,ガワ,ガワ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
脂っこい	形容詞,自立,*,*,形容詞・アウオ段,基本形,脂っこい,ヤニッコイ,ヤニッコイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
脂っこい	形容詞,自立,*,*,形容詞・アウオ段,基本形,脂っこい,ヤニッコイ,ヤニッコイ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
肉	名詞,一般,*,*,*,*,肉,ニク,ニク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
確かに	感動詞,*,*,*,*,*,確かに,タシカニ,タシカニ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
食べる	動詞,自立,*,*,一段,基本形,食べる,タベル,タベル,s
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,s
、	記号,読点,*,*,*,*,、,、,、,s
たぶん	副詞,一般,*,*,*,*,たぶん,タブン,タブン,s
中華	名詞,一般,*,*,*,*,中華,チュウカ,チューカ,s
街	名詞,接尾,一般,*,*,*,街,ガイ,ガイ,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
南京	名詞,固有名詞,地域,一般,*,*,南京,ナンキン,ナンキン,i
町	名詞,接尾,地域,*,*,*,町,マチ,マチ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
南京	名詞,固有名詞,地域,一般,*,*,南京,ナンキン,ナンキン,s
町	名詞,接尾,地域,*,*,*,町,マチ,マチ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
南京	名詞,固有名詞,地域,一般,*,*,南京,ナンキン,ナンキン,s
町	名詞,接尾,地域,*,*,*,町,マチ,マチ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
美味しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,美味しい,オイシク,オイシク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
美味しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,美味しい,オイシク,オイシク,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
北京ダック	名詞,固有名詞,一般,*,*,*,北京ダック,北京ダック,北京ダック,s
では	助詞,接続助詞,*,*,*,*,では,デハ,デワ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
小籠包	名詞,固有名詞,一般,*,*,*,小籠包,小籠包,小籠包,i
こないだ	名詞,副詞可能・縮約形,*,*,*,*,この間,コナイダ,コナイダ,i
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
、	記号,読点,*,*,*,*,、,、,、,i
南京	名詞,固有名詞,地域,一般,*,*,南京,ナンキン,ナンキン,i
町	名詞,接尾,地域,*,*,*,町,マチ,マチ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
、	記号,読点,*,*,*,*,、,、,、,i
小籠包	名詞,固有名詞,一般,*,*,*,小籠包,小籠包,小籠包,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
小籠包	名詞,固有名詞,一般,*,*,*,小籠包,小籠包,小籠包,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
小籠包	名詞,固有名詞,一般,*,*,*,小籠包,小籠包,小籠包,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
小籠包	名詞,固有名詞,一般,*,*,*,小籠包,小籠包,小籠包,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
違う	感動詞,*,*,*,*,*,違う,チャウ,チャウ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
美味しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,美味しい,オイシカッ,オイシカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
南	名詞,一般,*,*,*,*,南,ミナミ,ミナミ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
小籠包	名詞,固有名詞,一般,*,*,*,小籠包,小籠包,小籠包,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,i
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
味	名詞,一般,*,*,*,*,味,アジ,アジ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
出汁	名詞,一般,*,*,*,*,出汁,ダシ,ダシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
、	記号,読点,*,*,*,*,、,、,、,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
美味しい	形容詞,自立,*,*,形容詞・イ段,基本形,美味しい,オイシイ,オイシイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
汁	名詞,一般,*,*,*,*,汁,シル,シル,s
、	記号,読点,*,*,*,*,、,、,、,s
すすっ	動詞,自立,*,*,五段・ラ行,連用タ接続,すする,ススッ,ススッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
食べ	動詞,自立,*,*,一段,未然形,食べる,タベ,タベ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
小籠包	名詞,固有名詞,一般,*,*,*,小籠包,小籠包,小籠包,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
今度	名詞,副詞可能,*,*,*,*,今度,コンド,コンド,s
、	記号,読点,*,*,*,*,、,、,、,s
南京	名詞,固有名詞,地域,一般,*,*,南京,ナンキン,ナンキン,s
町	名詞,接尾,地域,*,*,*,町,マチ,マチ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行こ	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
食べる	動詞,自立,*,*,一段,基本形,食べる,タベル,タベル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行こ	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
、	記号,読点,*,*,*,*,、,、,、,i
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
食べ物	名詞,一般,*,*,*,*,食べ物,タベモノ,タベモノ,i
、	記号,読点,*,*,*,*,、,、,、,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
食べ物	名詞,一般,*,*,*,*,食べ物,タベモノ,タベモノ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
寿司	名詞,一般,*,*,*,*,寿司,スシ,スシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
お好み焼き	名詞,一般,*,*,*,*,お好み焼き,オコノミヤキ,オコノミヤキ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
お好み焼き	名詞,一般,*,*,*,*,お好み焼き,オコノミヤキ,オコノミヤキ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
お好み焼き	名詞,一般,*,*,*,*,お好み焼き,オコノミヤキ,オコノミヤキ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー,i
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
有名	名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
すき焼き	名詞,一般,*,*,*,*,すき焼き,スキヤキ,スキヤキ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ん	感動詞,*,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
お好み焼き	名詞,一般,*,*,*,*,お好み焼き,オコノミヤキ,オコノミヤキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,i
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
広島	名詞,固有名詞,組織,*,*,*,広島,ヒロシマ,ヒロシマ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
広島	名詞,固有名詞,組織,*,*,*,広島,ヒロシマ,ヒロシマ,i
焼	名詞,接尾,一般,*,*,*,焼,ショウ,ショー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
広島	名詞,固有名詞,組織,*,*,*,広島,ヒロシマ,ヒロシマ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
キャベツ	名詞,一般,*,*,*,*,キャベツ,キャベツ,キャベツ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
いっぱい	副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,i
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
お好み焼き	名詞,一般,*,*,*,*,お好み焼き,オコノミヤキ,オコノミヤキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
広島	名詞,固有名詞,組織,*,*,*,広島,ヒロシマ,ヒロシマ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
広島	名詞,固有名詞,組織,*,*,*,広島,ヒロシマ,ヒロシマ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
