つ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ツ,ツ
けちう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,けちる,ケチウ,ケチー
嘲笑う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,嘲笑う,アザワロウ,アザワロー
ぬれそぼう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,ぬれそぼつ,ヌレソボウ,ヌレソボー
やぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,やぶる,ヤブウ,ヤブー
もうしおくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,もうしおくる,モウシオクウ,モーシオクー
なもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,なまる,ナモウ,ナモー
飛び渡う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飛び渡る,トビワトウ,トビワトー
似かよう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,似かよう,ニカヨウ,ニカヨー
読みあしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,読みあさる,ヨミアシヨウ,ヨミアシヨー
こわごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,こわがる,コワゴウ,コワゴー
くろみがこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くろみがかる,クロミガコウ,クロミガコー
ちちくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ちちくる,チチクウ,チチクー
ものおもう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ものおもう,モノオモウ,モノオモー
潜もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,潜まる,ヒソモウ,ヒソモー
羽織う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,羽織る,ハオウ,ハオー
にあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,にあがる,ニアゴウ,ニアゴー
きう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,きる,キウ,キー
みつくろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,みつくろう,ミツクロウ,ミツクロー
ほねぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ほねばる,ホネボウ,ホネボー
入替う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,入替る,イレカオウ,イレカオー
みなろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,みならう,ミナロウ,ミナロー
でおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,であう,デオウ,デオー
はう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,はう,ホウ,ホー
釣りあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,釣りあがる,ツリアゴウ,ツリアゴー
おれ合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,おれ合う,オレオウ,オレオー
採う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,採る,トウ,トー
寄あつもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,寄あつまる,ヨリアツモウ,ヨリアツモー
至う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,至る,イトウ,イトー
あかみがこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あかみがかる,アカミガコウ,アカミガコー
擦り寄う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,擦り寄る,スリヨウ,スリヨー
起き直う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,起き直る,オキナオウ,オキナオー
すごもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すごもる,スゴモウ,スゴモー
留う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,留る,トモウ,トモー
放う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,放つ,ハノウ,ハノー
磨う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,磨る,スウ,スー
いたぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いたぶる,イタブウ,イタブー
睡う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,睡る,ネムウ,ネムー
思い余う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,思い余る,オモイアモウ,オモイアモー
削う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,削る,ケズウ,ケズー
うちおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,うちあう,ウチオウ,ウチオー
裁ち切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,裁ち切る,タチキウ,タチキー
すり減う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すり減る,スリヘウ,スリヘー
ぬたくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ぬたくる,ヌタクウ,ヌタクー
強ぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,強ばる,コワボウ,コワボー
言いおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言いあう,イイオウ,イーオー
あったもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あったまる,オウタモウ,オウタモー
しこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しかる,シコウ,シコー
たちかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,たちかわる,タチカオウ,タチカオー
書き取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,書き取る,カキトウ,カキトー
入り雑じう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,入り雑じる,イリマジウ,イリマジー
くみおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,くみあう,クミオウ,クミオー
浮き立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,浮き立つ,ウキトウ,ウキトー
こもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,こもる,コモウ,コモー
いきのこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いきのこる,イキノコウ,イキノコー
いこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いかる,イコウ,イコー
さ迷う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,さ迷う,サマヨウ,サマヨー
みつこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みつかる,ミツコウ,ミツコー
もつれ合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,もつれ合う,モツレオウ,モツレオー
携おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,携わる,タズサオウ,タズサオー
吊う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,吊る,ツウ,ツー
掴みかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,掴みかかる,ツカミカコウ,ツカミカコー
願う	動詞,非自立,*,*,五段・ワ行ウ音便,連用タ接続,願う,ネゴウ,ネゴー
煮上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,煮上がる,ニアゴウ,ニアゴー
誉めちぎう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,誉めちぎる,ホメチギウ,ホメチギー
したまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,したまわる,シタマオウ,シタマオー
くじけかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くじけかかる,クジケカコウ,クジケカコー
懸け隔とう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,懸け隔たる,カケヘダトウ,カケヘダトー
謙う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,謙る,ヘリクドウ,ヘリクドー
おりゃう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おりゃる,オリャウ,オリャー
うう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うる,ウウ,ウー
つきまとう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つきまとう,ツキマトウ,ツキマトー
被しょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,被さる,カブシヨウ,カブシヨー
かけもう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,かけもつ,カケモウ,カケモー
合しょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,合さる,アワシヨウ,アワシヨー
つかみ合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つかみ合う,ツカミオウ,ツカミオー
はぎとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はぎとる,ハギトウ,ハギトー
連合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続ウ音便,連合う,ツレオウ,ツレオー
付合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,付合う,ツキオウ,ツキオー
はしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はしょる,ハショウ,ハショー
いれかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いれかわる,イレカオウ,イレカオー
もともう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,もとまる,モトモウ,モトモー
躄う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,躄る,イジヨウ,イジヨー
ぬけかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ぬけかわる,ヌケカオウ,ヌケカオー
立添う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,立添う,タチソウ,タチソー
掬う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,掬う,スクウ,スクー
天翔う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,天翔る,アマガケウ,アマガケー
つきさしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つきささる,ツキサシヨウ,ツキサシヨー
熾う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,熾る,オコウ,オコー
腫れ上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,腫れ上がる,ハレアゴウ,ハレアゴー
とおりかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,とおりかかる,トオリカコウ,トーリカコー
伏せう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,伏せる,フセウ,フセー
学びとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,学びとる,マナビトウ,マナビトー
食ろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,食らう,クロウ,クロー
まおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まわる,マオウ,マオー
苦みばしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,苦みばしる,ニガミバシウ,ニガミバシー
見識張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,見識張る,ケンシキボウ,ケンシキボー
入雑じう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,入雑じる,イリマジウ,イリマジー
よおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,よわる,ヨオウ,ヨオー
ひう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひる,ヒウ,ヒー
出しゃぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,出しゃばる,デシャボウ,デシャボー
陣どう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,陣どる,ジンドウ,ジンドー
受けとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,受けとる,ウケトウ,ウケトー
喪う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,喪う,ウシノウ,ウシノー
振り絞う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,振り絞る,フリシボウ,フリシボー
締め括う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,締め括る,シメククウ,シメククー
ほじくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ほじくる,ホジクウ,ホジクー
攻めのぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,攻めのぼる,セメノボウ,セメノボー
太う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,太る,フトウ,フトー
居座う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,居座る,イスオウ,イスオー
過う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,過つ,アヤモウ,アヤモー
のけ反う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のけ反る,ノケゾウ,ノケゾー
思いきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,思いきる,オモイキウ,オモイキー
聰う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,聰る,サトウ,サトー
口篭う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,口篭る,クチゴモウ,クチゴモー
遇う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,遇う,オウ,オー
冬篭う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,冬篭る,フユゴモウ,フユゴモー
ふみきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふみきる,フミキウ,フミキー
いりかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いりかわる,イリカオウ,イリカオー
見回う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,見回る,ミマオウ,ミマオー
腹どう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,腹だつ,ハラドウ,ハラドー
買取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,買取る,カイトウ,カイトー
足う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,足る,トウ,トー
温もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,温もる,ヌクモウ,ヌクモー
ひろもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひろまる,ヒロモウ,ヒロモー
焦う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,焦る,アセウ,アセー
死かおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,死かわる,シニカオウ,シニカオー
まじょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まざる,マジヨウ,マジヨー
さごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さがる,サゴウ,サゴー
移り変う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,移り変る,ウツリカオウ,ウツリカオー
かごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かがる,カゴウ,カゴー
突ぱう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突ぱる,ツウパウ,ツウパー
突き通う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突き通る,ツキトオウ,ツキトーー
請けおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,請けおう,ウケオウ,ウケオー
なみどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,なみだつ,ナミドウ,ナミドー
飛交う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,飛交う,トビコウ,トビコー
がぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,がぶる,ガブウ,ガブー
写う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,写る,ウツウ,ウツー
解合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,解合う,トケオウ,トケオー
立会う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,立会う,タチオウ,タチオー
つう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つる,ツウ,ツー
きろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,きらう,キロウ,キロー
むらごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,むらがる,ムラゴウ,ムラゴー
刳う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,刳る,クウ,クー
出っ張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,出っ張る,デウパウ,デウパー
知り合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,知り合う,シリオウ,シリオー
努もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,努まる,ツトモウ,ツトモー
がこう	動詞,接尾,*,*,五段・ラ行ウ音便,連用タ接続,がかる,ガコウ,ガコー
佇う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,佇つ,トウ,トー
よりそう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,よりそう,ヨリソウ,ヨリソー
弔う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,弔う,トムロウ,トムロー
撚う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,撚る,ヨウ,ヨー
わう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,わる,オウ,オー
盛り上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,盛り上がる,モリアゴウ,モリアゴー
締もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,締まる,シモウ,シモー
燻う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,燻る,イブウ,イブー
燻う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,燻る,クスブウ,クスブー
狭もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,狭まる,セバモウ,セバモー
娶う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,娶る,メトウ,メトー
おもひよう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おもひよる,オモヒヨウ,オモイヨー
振切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,振切る,フリキウ,フリキー
請負う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,請負う,ウケオウ,ウケオー
そろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,そろう,ソロウ,ソロー
おしだもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おしだまる,オシダモウ,オシダモー
なみうう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,なみうつ,ナミウウ,ナミウー
ずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ずる,ズウ,ズー
詰もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,詰まる,ツモウ,ツモー
折う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,折る,オウ,オー
つけくわおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つけくわわる,ツケクワオウ,ツケクワオー
待う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,待つ,モウ,モー
支う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,支う,コウ,コー
沿う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,沿う,ソウ,ソー
炊きあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,炊きあがる,タキアゴウ,タキアゴー
着飾う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,着飾る,キカジヨウ,キカジヨー
出来上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,出来上がる,デキアゴウ,デキアゴー
いとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いたる,イトウ,イトー
爪立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,爪立つ,ツマドウ,ツマドー
くちばしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くちばしる,クチバシウ,クチバシー
操う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,操る,アヤツウ,アヤツー
きりかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,きりかわる,キリカオウ,キリカオー
使う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,使う,ツコウ,ツコー
言い放う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,言い放つ,イイハノウ,イーハノー
殺気立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,殺気立つ,シヨウキドウ,シヨウキドー
出回う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,出回る,デマオウ,デマオー
啜う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,啜る,ススウ,ススー
剃う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,剃る,スウ,スー
剃う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,剃る,ソウ,ソー
ゆき交う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ゆき交う,ユキコウ,ユキコー
間切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,間切る,マギウ,マギー
のたうう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,のたうつ,ノタウウ,ノタウー
勝ち取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,勝ち取る,カチトウ,カチトー
濡れそぼう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,濡れそぼつ,ヌレソボウ,ヌレソボー
きれあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,きれあがる,キレアゴウ,キレアゴー
飾う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飾る,カジヨウ,カジヨー
あおみがこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あおみがかる,アオミガコウ,アオミガコー
つきあとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つきあたる,ツキアトウ,ツキアトー
よう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,よう,ヨウ,ヨー
掴み掛う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,掴み掛る,ツカミカコウ,ツカミカコー
押し入う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,押し入る,オシイウ,オシイー
ひきつくろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ひきつくろう,ヒキツクロウ,ヒキツクロー
付き添う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,付き添う,ツキソウ,ツキソー
よどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,よだつ,ヨドウ,ヨドー
染み入う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,染み入る,シミイウ,シミイー
わきとう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,わきたつ,ワキトウ,ワキトー
引っぱう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引っぱる,ヒウパウ,ヒウパー
はおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はおる,ハオウ,ハオー
はしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はしる,ハシウ,ハシー
染う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,染る,ソモウ,ソモー
慕う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,慕う,シトウ,シトー
載う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,載る,ノウ,ノー
引っ篭う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引っ篭る,ヒウコモウ,ヒウコモー
切り合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,切り合う,キリオウ,キリオー
こいねごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,こいねがう,コイネゴウ,コイネゴー
ふりおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ふりあう,フリオウ,フリオー
ゆきとう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,ゆきたつ,ユキトウ,ユキトー
押しきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,押しきる,オシキウ,オシキー
勿体ぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,勿体ぶる,モウタイブウ,モウタイブー
ふう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふる,フウ,フー
みてとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みてとる,ミテトウ,ミテトー
もじう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,もじる,モジウ,モジー
粒立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,粒立つ,ツブドウ,ツブドー
たごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,たがう,タゴウ,タゴー
寄り掛う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,寄り掛る,ヨリカコウ,ヨリカコー
嫌う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,嫌う,キロウ,キロー
奉う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,奉る,マツウ,マツー
奉う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,奉る,タテマツウ,タテマツー
息詰もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,息詰まる,イキヅモウ,イキズモー
紛う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,紛う,マゴウ,マゴー
あずこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あずかる,アズコウ,アズコー
年寄う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,年寄る,トシヨウ,トシヨー
さぐり合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,さぐり合う,サグリオウ,サグリオー
うちとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うちとる,ウチトウ,ウチトー
脅し取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,脅し取る,オドシトウ,オドシトー
競い合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,競い合う,キソイオウ,キソイオー
こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,こる,コウ,コー
追っぱろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,追っぱらう,オウパロウ,オウパロー
ぎゅうじう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ぎゅうじる,ギュウジウ,ギュージー
かきむしう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かきむしる,カキムシウ,カキムシー
仕上ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,仕上がる,シアゴウ,シアゴー
競合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,競合う,セリオウ,セリオー
しめきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しめきる,シメキウ,シメキー
引っ張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引っ張る,ヒウパウ,ヒウパー
入り浸う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,入り浸る,イリビトウ,イリビトー
いら立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,いら立つ,イラドウ,イラドー
襲いかこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,襲いかかる,オソイカコウ,オソイカコー
のたうちまわう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,のたうちまわる,ノタウチマオウ,ノタウチマオー
つっきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つっきる,ツウキウ,ツウキー
掛う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,掛る,カコウ,カコー
約もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,約まる,ツヅモウ,ツズモー
あいしおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あいしあう,アイシオウ,アイシオー
乗かこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,乗かかる,ノリカコウ,ノリカコー
創う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,創る,ツクウ,ツクー
遜う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,遜る,ヘリクドウ,ヘリクドー
みごもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みごもる,ミゴモウ,ミゴモー
野次う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,野次る,ヤジウ,ヤジー
つきやぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つきやぶる,ツキヤブウ,ツキヤブー
めぐりおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,めぐりあう,メグリオウ,メグリオー
しゃっちょこ張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しゃっちょこ張る,シャウチョコボウ,シャウチョコボー
煮つもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,煮つまる,ニツモウ,ニツモー
食い入う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,食い入る,クイイウ,クイイー
