問掛けれる	動詞,自立,*,*,一段・可能,基本形,問掛けれる,トイカケレル,トイカケレル
衰えれん	動詞,自立,*,*,一段・可能,体言接続特殊,衰えれる,オトロエレン,オトロエレン
言捨てれる	動詞,自立,*,*,一段・可能,基本形,言捨てれる,イイステレル,イーステレル
言捨てれ	動詞,自立,*,*,一段・可能,未然形,言捨てれる,イイステレ,イーステレ
言捨てれ	動詞,自立,*,*,一段・可能,連用形,言捨てれる,イイステレ,イーステレ
言捨てれれ	動詞,自立,*,*,一段・可能,仮定形,言捨てれる,イイステレレ,イーステレレ
言捨てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,言捨てれる,イイステレリャ,イーステレリャ
言捨てれん	動詞,自立,*,*,一段・可能,体言接続特殊,言捨てれる,イイステレン,イーステレン
でっち上げれる	動詞,自立,*,*,一段・可能,基本形,でっち上げれる,デッチアゲレル,デッチアゲレル
でっち上げれ	動詞,自立,*,*,一段・可能,未然形,でっち上げれる,デッチアゲレ,デッチアゲレ
でっち上げれ	動詞,自立,*,*,一段・可能,連用形,でっち上げれる,デッチアゲレ,デッチアゲレ
でっち上げれれ	動詞,自立,*,*,一段・可能,仮定形,でっち上げれる,デッチアゲレレ,デッチアゲレレ
でっち上げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,でっち上げれる,デッチアゲレリャ,デッチアゲレリャ
でっち上げれん	動詞,自立,*,*,一段・可能,体言接続特殊,でっち上げれる,デッチアゲレン,デッチアゲレン
勉めれる	動詞,自立,*,*,一段・可能,基本形,勉めれる,ツトメレル,ツトメレル
勉めれ	動詞,自立,*,*,一段・可能,未然形,勉めれる,ツトメレ,ツトメレ
勉めれ	動詞,自立,*,*,一段・可能,連用形,勉めれる,ツトメレ,ツトメレ
勉めれれ	動詞,自立,*,*,一段・可能,仮定形,勉めれる,ツトメレレ,ツトメレレ
勉めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,勉めれる,ツトメレリャ,ツトメレリャ
勉めれん	動詞,自立,*,*,一段・可能,体言接続特殊,勉めれる,ツトメレン,ツトメレン
ひびわれれる	動詞,自立,*,*,一段・可能,基本形,ひびわれれる,ヒビワレレル,ヒビワレレル
ひびわれれ	動詞,自立,*,*,一段・可能,未然形,ひびわれれる,ヒビワレレ,ヒビワレレ
ひびわれれ	動詞,自立,*,*,一段・可能,連用形,ひびわれれる,ヒビワレレ,ヒビワレレ
ひびわれれれ	動詞,自立,*,*,一段・可能,仮定形,ひびわれれる,ヒビワレレレ,ヒビワレレレ
ひびわれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ひびわれれる,ヒビワレレリャ,ヒビワレレリャ
ひびわれれん	動詞,自立,*,*,一段・可能,体言接続特殊,ひびわれれる,ヒビワレレン,ヒビワレレン
みれれる	動詞,自立,*,*,一段・可能,基本形,みれれる,ミレレル,ミレレル
みれれ	動詞,自立,*,*,一段・可能,未然形,みれれる,ミレレ,ミレレ
みれれ	動詞,自立,*,*,一段・可能,連用形,みれれる,ミレレ,ミレレ
みれれれ	動詞,自立,*,*,一段・可能,仮定形,みれれる,ミレレレ,ミレレレ
みれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,みれれる,ミレレリャ,ミレレリャ
みれれん	動詞,自立,*,*,一段・可能,体言接続特殊,みれれる,ミレレン,ミレレン
あおのけれる	動詞,自立,*,*,一段・可能,基本形,あおのけれる,アオノケレル,アオノケレル
あおのけれ	動詞,自立,*,*,一段・可能,未然形,あおのけれる,アオノケレ,アオノケレ
あおのけれ	動詞,自立,*,*,一段・可能,連用形,あおのけれる,アオノケレ,アオノケレ
あおのけれれ	動詞,自立,*,*,一段・可能,仮定形,あおのけれる,アオノケレレ,アオノケレレ
あおのけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,あおのけれる,アオノケレリャ,アオノケレリャ
あおのけれん	動詞,自立,*,*,一段・可能,体言接続特殊,あおのけれる,アオノケレン,アオノケレン
とろけれる	動詞,自立,*,*,一段・可能,基本形,とろけれる,トロケレル,トロケレル
とろけれ	動詞,自立,*,*,一段・可能,未然形,とろけれる,トロケレ,トロケレ
とろけれ	動詞,自立,*,*,一段・可能,連用形,とろけれる,トロケレ,トロケレ
とろけれれ	動詞,自立,*,*,一段・可能,仮定形,とろけれる,トロケレレ,トロケレレ
とろけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,とろけれる,トロケレリャ,トロケレリャ
とろけれん	動詞,自立,*,*,一段・可能,体言接続特殊,とろけれる,トロケレン,トロケレン
やせおとろえれる	動詞,自立,*,*,一段・可能,基本形,やせおとろえれる,ヤセオトロエレル,ヤセオトロエレル
やせおとろえれ	動詞,自立,*,*,一段・可能,未然形,やせおとろえれる,ヤセオトロエレ,ヤセオトロエレ
やせおとろえれ	動詞,自立,*,*,一段・可能,連用形,やせおとろえれる,ヤセオトロエレ,ヤセオトロエレ
やせおとろえれれ	動詞,自立,*,*,一段・可能,仮定形,やせおとろえれる,ヤセオトロエレレ,ヤセオトロエレレ
やせおとろえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,やせおとろえれる,ヤセオトロエレリャ,ヤセオトロエレリャ
やせおとろえれん	動詞,自立,*,*,一段・可能,体言接続特殊,やせおとろえれる,ヤセオトロエレン,ヤセオトロエレン
混ぜれる	動詞,自立,*,*,一段・可能,基本形,混ぜれる,マゼレル,マゼレル
混ぜれ	動詞,自立,*,*,一段・可能,未然形,混ぜれる,マゼレ,マゼレ
混ぜれ	動詞,自立,*,*,一段・可能,連用形,混ぜれる,マゼレ,マゼレ
混ぜれれ	動詞,自立,*,*,一段・可能,仮定形,混ぜれる,マゼレレ,マゼレレ
混ぜれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,混ぜれる,マゼレリャ,マゼレリャ
混ぜれん	動詞,自立,*,*,一段・可能,体言接続特殊,混ぜれる,マゼレン,マゼレン
てびかえれる	動詞,自立,*,*,一段・可能,基本形,てびかえれる,テビカエレル,テビカエレル
てびかえれ	動詞,自立,*,*,一段・可能,未然形,てびかえれる,テビカエレ,テビカエレ
てびかえれ	動詞,自立,*,*,一段・可能,連用形,てびかえれる,テビカエレ,テビカエレ
てびかえれれ	動詞,自立,*,*,一段・可能,仮定形,てびかえれる,テビカエレレ,テビカエレレ
てびかえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,てびかえれる,テビカエレリャ,テビカエレリャ
てびかえれん	動詞,自立,*,*,一段・可能,体言接続特殊,てびかえれる,テビカエレン,テビカエレン
費えれる	動詞,自立,*,*,一段・可能,基本形,費えれる,ツイエレル,ツイエレル
費えれ	動詞,自立,*,*,一段・可能,未然形,費えれる,ツイエレ,ツイエレ
費えれ	動詞,自立,*,*,一段・可能,連用形,費えれる,ツイエレ,ツイエレ
費えれれ	動詞,自立,*,*,一段・可能,仮定形,費えれる,ツイエレレ,ツイエレレ
費えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,費えれる,ツイエレリャ,ツイエレリャ
費えれん	動詞,自立,*,*,一段・可能,体言接続特殊,費えれる,ツイエレン,ツイエレン
ずるけれる	動詞,自立,*,*,一段・可能,基本形,ずるけれる,ズルケレル,ズルケレル
ずるけれ	動詞,自立,*,*,一段・可能,未然形,ずるけれる,ズルケレ,ズルケレ
ずるけれ	動詞,自立,*,*,一段・可能,連用形,ずるけれる,ズルケレ,ズルケレ
ずるけれれ	動詞,自立,*,*,一段・可能,仮定形,ずるけれる,ズルケレレ,ズルケレレ
ずるけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ずるけれる,ズルケレリャ,ズルケレリャ
ずるけれん	動詞,自立,*,*,一段・可能,体言接続特殊,ずるけれる,ズルケレン,ズルケレン
ばたつかせれる	動詞,自立,*,*,一段・可能,基本形,ばたつかせれる,バタツカセレル,バタツカセレル
ばたつかせれ	動詞,自立,*,*,一段・可能,未然形,ばたつかせれる,バタツカセレ,バタツカセレ
ばたつかせれ	動詞,自立,*,*,一段・可能,連用形,ばたつかせれる,バタツカセレ,バタツカセレ
ばたつかせれれ	動詞,自立,*,*,一段・可能,仮定形,ばたつかせれる,バタツカセレレ,バタツカセレレ
ばたつかせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ばたつかせれる,バタツカセレリャ,バタツカセレリャ
ばたつかせれん	動詞,自立,*,*,一段・可能,体言接続特殊,ばたつかせれる,バタツカセレン,バタツカセレン
捩じ上げれる	動詞,自立,*,*,一段・可能,基本形,捩じ上げれる,ネジアゲレル,ネジアゲレル
捩じ上げれ	動詞,自立,*,*,一段・可能,未然形,捩じ上げれる,ネジアゲレ,ネジアゲレ
捩じ上げれ	動詞,自立,*,*,一段・可能,連用形,捩じ上げれる,ネジアゲレ,ネジアゲレ
捩じ上げれれ	動詞,自立,*,*,一段・可能,仮定形,捩じ上げれる,ネジアゲレレ,ネジアゲレレ
捩じ上げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,捩じ上げれる,ネジアゲレリャ,ネジアゲレリャ
捩じ上げれん	動詞,自立,*,*,一段・可能,体言接続特殊,捩じ上げれる,ネジアゲレン,ネジアゲレン
煤けれる	動詞,自立,*,*,一段・可能,基本形,煤けれる,ススケレル,ススケレル
煤けれ	動詞,自立,*,*,一段・可能,未然形,煤けれる,ススケレ,ススケレ
煤けれ	動詞,自立,*,*,一段・可能,連用形,煤けれる,ススケレ,ススケレ
煤けれれ	動詞,自立,*,*,一段・可能,仮定形,煤けれる,ススケレレ,ススケレレ
煤けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,煤けれる,ススケレリャ,ススケレリャ
煤けれん	動詞,自立,*,*,一段・可能,体言接続特殊,煤けれる,ススケレン,ススケレン
仰せれる	動詞,自立,*,*,一段・可能,基本形,仰せれる,オオセレル,オーセレル
仰せれ	動詞,自立,*,*,一段・可能,未然形,仰せれる,オオセレ,オーセレ
仰せれ	動詞,自立,*,*,一段・可能,連用形,仰せれる,オオセレ,オーセレ
仰せれれ	動詞,自立,*,*,一段・可能,仮定形,仰せれる,オオセレレ,オーセレレ
仰せれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,仰せれる,オオセレリャ,オーセレリャ
仰せれん	動詞,自立,*,*,一段・可能,体言接続特殊,仰せれる,オオセレン,オーセレン
獲れる	動詞,自立,*,*,一段・可能,基本形,獲れる,エレル,エレル
獲れ	動詞,自立,*,*,一段・可能,未然形,獲れる,エレ,エレ
獲れ	動詞,自立,*,*,一段・可能,連用形,獲れる,エレ,エレ
獲れれ	動詞,自立,*,*,一段・可能,仮定形,獲れる,エレレ,エレレ
獲れりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,獲れる,エレリャ,エレリャ
獲れん	動詞,自立,*,*,一段・可能,体言接続特殊,獲れる,エレン,エレン
問合せれる	動詞,自立,*,*,一段・可能,基本形,問合せれる,トイアワセレル,トイアワセレル
問合せれ	動詞,自立,*,*,一段・可能,未然形,問合せれる,トイアワセレ,トイアワセレ
問合せれ	動詞,自立,*,*,一段・可能,連用形,問合せれる,トイアワセレ,トイアワセレ
問合せれれ	動詞,自立,*,*,一段・可能,仮定形,問合せれる,トイアワセレレ,トイアワセレレ
問合せれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,問合せれる,トイアワセレリャ,トイアワセレリャ
問合せれん	動詞,自立,*,*,一段・可能,体言接続特殊,問合せれる,トイアワセレン,トイアワセレン
うなだれれる	動詞,自立,*,*,一段・可能,基本形,うなだれれる,ウナダレレル,ウナダレレル
うなだれれ	動詞,自立,*,*,一段・可能,未然形,うなだれれる,ウナダレレ,ウナダレレ
うなだれれ	動詞,自立,*,*,一段・可能,連用形,うなだれれる,ウナダレレ,ウナダレレ
うなだれれれ	動詞,自立,*,*,一段・可能,仮定形,うなだれれる,ウナダレレレ,ウナダレレレ
うなだれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,うなだれれる,ウナダレレリャ,ウナダレレリャ
うなだれれん	動詞,自立,*,*,一段・可能,体言接続特殊,うなだれれる,ウナダレレン,ウナダレレン
抜連ねれる	動詞,自立,*,*,一段・可能,基本形,抜連ねれる,ヌキツラネレル,ヌキツラネレル
抜連ねれ	動詞,自立,*,*,一段・可能,未然形,抜連ねれる,ヌキツラネレ,ヌキツラネレ
抜連ねれ	動詞,自立,*,*,一段・可能,連用形,抜連ねれる,ヌキツラネレ,ヌキツラネレ
抜連ねれれ	動詞,自立,*,*,一段・可能,仮定形,抜連ねれる,ヌキツラネレレ,ヌキツラネレレ
抜連ねれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,抜連ねれる,ヌキツラネレリャ,ヌキツラネレリャ
抜連ねれん	動詞,自立,*,*,一段・可能,体言接続特殊,抜連ねれる,ヌキツラネレン,ヌキツラネレン
ランクづけれる	動詞,自立,*,*,一段・可能,基本形,ランクづけれる,ランクヅケレル,ランクズケレル
ランクづけれ	動詞,自立,*,*,一段・可能,未然形,ランクづけれる,ランクヅケレ,ランクズケレ
ランクづけれ	動詞,自立,*,*,一段・可能,連用形,ランクづけれる,ランクヅケレ,ランクズケレ
ランクづけれれ	動詞,自立,*,*,一段・可能,仮定形,ランクづけれる,ランクヅケレレ,ランクズケレレ
ランクづけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ランクづけれる,ランクヅケレリャ,ランクズケレリャ
ランクづけれん	動詞,自立,*,*,一段・可能,体言接続特殊,ランクづけれる,ランクヅケレン,ランクズケレン
経れる	動詞,自立,*,*,一段・可能,基本形,経れる,ヘレル,ヘレル
経れ	動詞,自立,*,*,一段・可能,未然形,経れる,ヘレ,ヘレ
経れ	動詞,自立,*,*,一段・可能,連用形,経れる,ヘレ,ヘレ
経れれ	動詞,自立,*,*,一段・可能,仮定形,経れる,ヘレレ,ヘレレ
経れりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,経れる,ヘレリャ,ヘレリャ
経れん	動詞,自立,*,*,一段・可能,体言接続特殊,経れる,ヘレン,ヘレン
引っ提げれる	動詞,自立,*,*,一段・可能,基本形,引っ提げれる,ヒッサゲレル,ヒッサゲレル
引っ提げれ	動詞,自立,*,*,一段・可能,未然形,引っ提げれる,ヒッサゲレ,ヒッサゲレ
引っ提げれ	動詞,自立,*,*,一段・可能,連用形,引っ提げれる,ヒッサゲレ,ヒッサゲレ
引っ提げれれ	動詞,自立,*,*,一段・可能,仮定形,引っ提げれる,ヒッサゲレレ,ヒッサゲレレ
引っ提げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,引っ提げれる,ヒッサゲレリャ,ヒッサゲレリャ
引っ提げれん	動詞,自立,*,*,一段・可能,体言接続特殊,引っ提げれる,ヒッサゲレン,ヒッサゲレン
繰広げれる	動詞,自立,*,*,一段・可能,基本形,繰広げれる,クリヒロゲレル,クリヒロゲレル
繰広げれ	動詞,自立,*,*,一段・可能,未然形,繰広げれる,クリヒロゲレ,クリヒロゲレ
繰広げれ	動詞,自立,*,*,一段・可能,連用形,繰広げれる,クリヒロゲレ,クリヒロゲレ
繰広げれれ	動詞,自立,*,*,一段・可能,仮定形,繰広げれる,クリヒロゲレレ,クリヒロゲレレ
繰広げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,繰広げれる,クリヒロゲレリャ,クリヒロゲレリャ
繰広げれん	動詞,自立,*,*,一段・可能,体言接続特殊,繰広げれる,クリヒロゲレン,クリヒロゲレン
はせれる	動詞,自立,*,*,一段・可能,基本形,はせれる,ハセレル,ハセレル
はせれ	動詞,自立,*,*,一段・可能,未然形,はせれる,ハセレ,ハセレ
はせれ	動詞,自立,*,*,一段・可能,連用形,はせれる,ハセレ,ハセレ
はせれれ	動詞,自立,*,*,一段・可能,仮定形,はせれる,ハセレレ,ハセレレ
はせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,はせれる,ハセレリャ,ハセレリャ
はせれん	動詞,自立,*,*,一段・可能,体言接続特殊,はせれる,ハセレン,ハセレン
当てれる	動詞,自立,*,*,一段・可能,基本形,当てれる,アテレル,アテレル
当てれ	動詞,自立,*,*,一段・可能,未然形,当てれる,アテレ,アテレ
当てれ	動詞,自立,*,*,一段・可能,連用形,当てれる,アテレ,アテレ
当てれれ	動詞,自立,*,*,一段・可能,仮定形,当てれる,アテレレ,アテレレ
当てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,当てれる,アテレリャ,アテレリャ
当てれん	動詞,自立,*,*,一段・可能,体言接続特殊,当てれる,アテレン,アテレン
まくしたてれる	動詞,自立,*,*,一段・可能,基本形,まくしたてれる,マクシタテレル,マクシタテレル
まくしたてれ	動詞,自立,*,*,一段・可能,未然形,まくしたてれる,マクシタテレ,マクシタテレ
まくしたてれ	動詞,自立,*,*,一段・可能,連用形,まくしたてれる,マクシタテレ,マクシタテレ
まくしたてれれ	動詞,自立,*,*,一段・可能,仮定形,まくしたてれる,マクシタテレレ,マクシタテレレ
まくしたてれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,まくしたてれる,マクシタテレリャ,マクシタテレリャ
まくしたてれん	動詞,自立,*,*,一段・可能,体言接続特殊,まくしたてれる,マクシタテレン,マクシタテレン
書捨てれる	動詞,自立,*,*,一段・可能,基本形,書捨てれる,カキステレル,カキステレル
書捨てれ	動詞,自立,*,*,一段・可能,未然形,書捨てれる,カキステレ,カキステレ
書捨てれ	動詞,自立,*,*,一段・可能,連用形,書捨てれる,カキステレ,カキステレ
書捨てれれ	動詞,自立,*,*,一段・可能,仮定形,書捨てれる,カキステレレ,カキステレレ
書捨てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,書捨てれる,カキステレリャ,カキステレリャ
書捨てれん	動詞,自立,*,*,一段・可能,体言接続特殊,書捨てれる,カキステレン,カキステレン
用立てれる	動詞,自立,*,*,一段・可能,基本形,用立てれる,ヨウダテレル,ヨーダテレル
用立てれ	動詞,自立,*,*,一段・可能,未然形,用立てれる,ヨウダテレ,ヨーダテレ
用立てれ	動詞,自立,*,*,一段・可能,連用形,用立てれる,ヨウダテレ,ヨーダテレ
用立てれれ	動詞,自立,*,*,一段・可能,仮定形,用立てれる,ヨウダテレレ,ヨーダテレレ
用立てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,用立てれる,ヨウダテレリャ,ヨーダテレリャ
用立てれん	動詞,自立,*,*,一段・可能,体言接続特殊,用立てれる,ヨウダテレン,ヨーダテレン
世離れれる	動詞,自立,*,*,一段・可能,基本形,世離れれる,ヨバナレレル,ヨバナレレル
世離れれ	動詞,自立,*,*,一段・可能,未然形,世離れれる,ヨバナレレ,ヨバナレレ
世離れれ	動詞,自立,*,*,一段・可能,連用形,世離れれる,ヨバナレレ,ヨバナレレ
世離れれれ	動詞,自立,*,*,一段・可能,仮定形,世離れれる,ヨバナレレレ,ヨバナレレレ
世離れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,世離れれる,ヨバナレレリャ,ヨバナレレリャ
世離れれん	動詞,自立,*,*,一段・可能,体言接続特殊,世離れれる,ヨバナレレン,ヨバナレレン
恋焦がれれる	動詞,自立,*,*,一段・可能,基本形,恋焦がれれる,コイコガレレル,コイコガレレル
恋焦がれれ	動詞,自立,*,*,一段・可能,未然形,恋焦がれれる,コイコガレレ,コイコガレレ
恋焦がれれ	動詞,自立,*,*,一段・可能,連用形,恋焦がれれる,コイコガレレ,コイコガレレ
恋焦がれれれ	動詞,自立,*,*,一段・可能,仮定形,恋焦がれれる,コイコガレレレ,コイコガレレレ
恋焦がれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,恋焦がれれる,コイコガレレリャ,コイコガレレリャ
恋焦がれれん	動詞,自立,*,*,一段・可能,体言接続特殊,恋焦がれれる,コイコガレレン,コイコガレレン
咎めれる	動詞,自立,*,*,一段・可能,基本形,咎めれる,トガメレル,トガメレル
咎めれ	動詞,自立,*,*,一段・可能,未然形,咎めれる,トガメレ,トガメレ
咎めれ	動詞,自立,*,*,一段・可能,連用形,咎めれる,トガメレ,トガメレ
咎めれれ	動詞,自立,*,*,一段・可能,仮定形,咎めれる,トガメレレ,トガメレレ
咎めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,咎めれる,トガメレリャ,トガメレリャ
咎めれん	動詞,自立,*,*,一段・可能,体言接続特殊,咎めれる,トガメレン,トガメレン
ひとなれれる	動詞,自立,*,*,一段・可能,基本形,ひとなれれる,ヒトナレレル,ヒトナレレル
ひとなれれ	動詞,自立,*,*,一段・可能,未然形,ひとなれれる,ヒトナレレ,ヒトナレレ
ひとなれれ	動詞,自立,*,*,一段・可能,連用形,ひとなれれる,ヒトナレレ,ヒトナレレ
ひとなれれれ	動詞,自立,*,*,一段・可能,仮定形,ひとなれれる,ヒトナレレレ,ヒトナレレレ
ひとなれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ひとなれれる,ヒトナレレリャ,ヒトナレレリャ
ひとなれれん	動詞,自立,*,*,一段・可能,体言接続特殊,ひとなれれる,ヒトナレレン,ヒトナレレン
ぶらさげれる	動詞,自立,*,*,一段・可能,基本形,ぶらさげれる,ブラサゲレル,ブラサゲレル
ぶらさげれ	動詞,自立,*,*,一段・可能,未然形,ぶらさげれる,ブラサゲレ,ブラサゲレ
ぶらさげれ	動詞,自立,*,*,一段・可能,連用形,ぶらさげれる,ブラサゲレ,ブラサゲレ
ぶらさげれれ	動詞,自立,*,*,一段・可能,仮定形,ぶらさげれる,ブラサゲレレ,ブラサゲレレ
ぶらさげれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ぶらさげれる,ブラサゲレリャ,ブラサゲレリャ
ぶらさげれん	動詞,自立,*,*,一段・可能,体言接続特殊,ぶらさげれる,ブラサゲレン,ブラサゲレン
取立てれる	動詞,自立,*,*,一段・可能,基本形,取立てれる,トリタテレル,トリタテレル
取立てれ	動詞,自立,*,*,一段・可能,未然形,取立てれる,トリタテレ,トリタテレ
取立てれ	動詞,自立,*,*,一段・可能,連用形,取立てれる,トリタテレ,トリタテレ
取立てれれ	動詞,自立,*,*,一段・可能,仮定形,取立てれる,トリタテレレ,トリタテレレ
取立てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,取立てれる,トリタテレリャ,トリタテレリャ
取立てれん	動詞,自立,*,*,一段・可能,体言接続特殊,取立てれる,トリタテレン,トリタテレン
己惚れれる	動詞,自立,*,*,一段・可能,基本形,己惚れれる,ウヌボレレル,ウヌボレレル
己惚れれ	動詞,自立,*,*,一段・可能,未然形,己惚れれる,ウヌボレレ,ウヌボレレ
己惚れれ	動詞,自立,*,*,一段・可能,連用形,己惚れれる,ウヌボレレ,ウヌボレレ
己惚れれれ	動詞,自立,*,*,一段・可能,仮定形,己惚れれる,ウヌボレレレ,ウヌボレレレ
己惚れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,己惚れれる,ウヌボレレリャ,ウヌボレレリャ
己惚れれん	動詞,自立,*,*,一段・可能,体言接続特殊,己惚れれる,ウヌボレレン,ウヌボレレン
まみえれる	動詞,自立,*,*,一段・可能,基本形,まみえれる,マミエレル,マミエレル
まみえれ	動詞,自立,*,*,一段・可能,未然形,まみえれる,マミエレ,マミエレ
まみえれ	動詞,自立,*,*,一段・可能,連用形,まみえれる,マミエレ,マミエレ
まみえれれ	動詞,自立,*,*,一段・可能,仮定形,まみえれる,マミエレレ,マミエレレ
まみえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,まみえれる,マミエレリャ,マミエレリャ
まみえれん	動詞,自立,*,*,一段・可能,体言接続特殊,まみえれる,マミエレン,マミエレン
おいぼれれる	動詞,自立,*,*,一段・可能,基本形,おいぼれれる,オイボレレル,オイボレレル
おいぼれれ	動詞,自立,*,*,一段・可能,未然形,おいぼれれる,オイボレレ,オイボレレ
おいぼれれ	動詞,自立,*,*,一段・可能,連用形,おいぼれれる,オイボレレ,オイボレレ
おいぼれれれ	動詞,自立,*,*,一段・可能,仮定形,おいぼれれる,オイボレレレ,オイボレレレ
おいぼれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,おいぼれれる,オイボレレリャ,オイボレレリャ
おいぼれれん	動詞,自立,*,*,一段・可能,体言接続特殊,おいぼれれる,オイボレレン,オイボレレン
引っ立てれる	動詞,自立,*,*,一段・可能,基本形,引っ立てれる,ヒッタテレル,ヒッタテレル
引っ立てれ	動詞,自立,*,*,一段・可能,未然形,引っ立てれる,ヒッタテレ,ヒッタテレ
引っ立てれ	動詞,自立,*,*,一段・可能,連用形,引っ立てれる,ヒッタテレ,ヒッタテレ
引っ立てれれ	動詞,自立,*,*,一段・可能,仮定形,引っ立てれる,ヒッタテレレ,ヒッタテレレ
引っ立てれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,引っ立てれる,ヒッタテレリャ,ヒッタテレリャ
引っ立てれん	動詞,自立,*,*,一段・可能,体言接続特殊,引っ立てれる,ヒッタテレン,ヒッタテレン
みせれる	動詞,自立,*,*,一段・可能,基本形,みせれる,ミセレル,ミセレル
みせれ	動詞,自立,*,*,一段・可能,未然形,みせれる,ミセレ,ミセレ
みせれ	動詞,自立,*,*,一段・可能,連用形,みせれる,ミセレ,ミセレ
みせれれ	動詞,自立,*,*,一段・可能,仮定形,みせれる,ミセレレ,ミセレレ
みせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,みせれる,ミセレリャ,ミセレリャ
みせれん	動詞,自立,*,*,一段・可能,体言接続特殊,みせれる,ミセレン,ミセレン
供えれる	動詞,自立,*,*,一段・可能,基本形,供えれる,ソナエレル,ソナエレル
供えれ	動詞,自立,*,*,一段・可能,未然形,供えれる,ソナエレ,ソナエレ
供えれ	動詞,自立,*,*,一段・可能,連用形,供えれる,ソナエレ,ソナエレ
供えれれ	動詞,自立,*,*,一段・可能,仮定形,供えれる,ソナエレレ,ソナエレレ
供えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,供えれる,ソナエレリャ,ソナエレリャ
供えれん	動詞,自立,*,*,一段・可能,体言接続特殊,供えれる,ソナエレン,ソナエレン
憑かれれる	動詞,自立,*,*,一段・可能,基本形,憑かれれる,ツカレレル,ツカレレル
憑かれれ	動詞,自立,*,*,一段・可能,未然形,憑かれれる,ツカレレ,ツカレレ
憑かれれ	動詞,自立,*,*,一段・可能,連用形,憑かれれる,ツカレレ,ツカレレ
憑かれれれ	動詞,自立,*,*,一段・可能,仮定形,憑かれれる,ツカレレレ,ツカレレレ
憑かれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,憑かれれる,ツカレレリャ,ツカレレリャ
憑かれれん	動詞,自立,*,*,一段・可能,体言接続特殊,憑かれれる,ツカレレン,ツカレレン
むれれる	動詞,自立,*,*,一段・可能,基本形,むれれる,ムレレル,ムレレル
むれれ	動詞,自立,*,*,一段・可能,未然形,むれれる,ムレレ,ムレレ
むれれ	動詞,自立,*,*,一段・可能,連用形,むれれる,ムレレ,ムレレ
むれれれ	動詞,自立,*,*,一段・可能,仮定形,むれれる,ムレレレ,ムレレレ
むれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,むれれる,ムレレリャ,ムレレリャ
むれれん	動詞,自立,*,*,一段・可能,体言接続特殊,むれれる,ムレレン,ムレレン
のぞかせれる	動詞,自立,*,*,一段・可能,基本形,のぞかせれる,ノゾカセレル,ノゾカセレル
のぞかせれ	動詞,自立,*,*,一段・可能,未然形,のぞかせれる,ノゾカセレ,ノゾカセレ
のぞかせれ	動詞,自立,*,*,一段・可能,連用形,のぞかせれる,ノゾカセレ,ノゾカセレ
のぞかせれれ	動詞,自立,*,*,一段・可能,仮定形,のぞかせれる,ノゾカセレレ,ノゾカセレレ
のぞかせれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,のぞかせれる,ノゾカセレリャ,ノゾカセレリャ
