悠介	名詞,固有名詞,人名,名,*,*,悠介,ユウスケ,ユースケ
淳平	名詞,固有名詞,人名,名,*,*,淳平,ジュンペイ,ジュンペイ
ますかけ	名詞,一般,*,*,*,*,ますかけ,マスカケ,マスカケ
現社	名詞,一般,*,*,*,*,現社,ゲンシャ,ゲンシャ
後	名詞,副詞可能,*,*,*,*,後,アト,アト
正孝	名詞,固有名詞,人名,名,*,*,正孝,マサタカ,マサタカ
高良	名詞,固有名詞,人名,姓,*,*,高良,コウラ,コウラ
桃李	名詞,固有名詞,人名,名,*,*,桃李,トウリ,トーリ
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
何	名詞,代名詞,一般,*,*,*,何,ナン,ナン
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
家	名詞,接尾,一般,*,*,*,家,ケ,ケ
m	名詞,接尾,助数詞,*,*,*,m,m,m
丼	名詞,接尾,一般,*,*,*,丼,ドン,ドン
おとう	名詞,一般,*,*,*,*,おとう,オトウ,オトー
おかあ	名詞,一般,*,*,*,*,おかあ,オカア,オカー
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
体幹	名詞,一般,*,*,*,*,体幹,タイカン,タイカン
城ホ	名詞,固有名詞,一般,*,*,*,城ホ,ジョウホ,ジョーホ
軽音	名詞,一般,*,*,*,*,軽音,ケイオン,ケーオン
海遊館	名詞,固有名詞,一般,*,*,*,海遊館,カイユウカン,カイユウカン
只中	名詞,一般,*,*,*,*,只中,タダナカ,タダナカ
小中高大	名詞,一般,*,*,*,*,小中高大,ショウチュウコウダイ,ショウチュウコウダイ
美ら海	名詞,固有名詞,一般,*,*,*,美ら海,チュラウミ,チュラウミ
後	名詞,一般,*,*,*,*,後,アト,アト
変態	名詞,形容動詞語幹,*,*,*,*,変態,ヘンタイ,ヘンタイ
葛根湯	名詞,固有名詞,一般,*,*,*,葛根湯,カッコントウ,カッコントウ
何	名詞,数,*,*,*,*,何,ナン,ナン
分	名詞,接尾,助数詞,*,*,*,分,プン,プン
王偏	名詞,一般,*,*,*,*,王偏,オウベン,オーベン
素	名詞,形容動詞語幹,*,*,*,*,素,ス,ス
清十郎	名詞,固有名詞,人名,名,*,*,清十郎,清十郎,清十郎
冬練	名詞,一般,*,*,*,*,冬練,冬練,冬練
報徳学園	名詞,固有名詞,一般,*,*,*,報徳学園,報徳学園,報徳学園
海パン	名詞,一般,*,*,*,*,海パン,海パン,海パン
スペイン人	名詞,一般,*,*,*,*,スペイン人,スペイン人,スペイン人
ドレッド	名詞,一般,*,*,*,*,ドレッド,ドレッド,ドレッド
ワンディー	名詞,固有名詞,一般,*,*,*,ワンディー,ワンディー,ワンディー
そうめん	名詞,一般,*,*,*,*,そうめん,ソウメン,ソウメン
体脂肪	名詞,一般,*,*,*,*,体脂肪,体脂肪,体脂肪
観音屋	名詞,固有名詞,一般,*,*,*,観音屋,観音屋,観音屋
外国語科	名詞,一般,*,*,*,*,外国語科,外国語科,外国語科
言語学	名詞,一般,*,*,*,*,言語学,言語学,言語学
FF	名詞,固有名詞,一般,*,*,*,FF,FF,FF
びび	名詞,固有名詞,人名,名,*,*,びび,ビビ,ビビ
ほ	名詞,一般,*,*,*,*,ほ,ホ,ホ
大輪田泊	名詞,固有名詞,一般,*,*,*,大輪田泊,大輪田泊,大輪田泊
グー	名詞,一般,*,*,*,*,グー,グー,グー
ダベ	名詞,一般,*,*,*,*,ダベ,ダベ,ダベ
かきくけこ	名詞,一般,*,*,*,*,かきくけこ,カキクケコ,カキクケコ
酒鬼薔薇	名詞,固有名詞,一般,*,*,*,酒鬼薔薇,酒鬼薔薇,酒鬼薔薇
カプリスワゴン	名詞,固有名詞,一般,*,*,*,カプリスワゴン,カプリスワゴン,カプリスワゴン
き	名詞,固有名詞,人名,名,*,*,き,キ,キ
ビビ	名詞,固有名詞,人名,名,*,*,ビビ,ビビ,ビビ
倖田	名詞,固有名詞,人名,名,*,*,倖田,倖田,倖田
來未	名詞,固有名詞,人名,名,*,*,來未,來未,來未
Ｍステ	名詞,固有名詞,一般,*,*,*,Ｍステ,Ｍステ,Ｍステ
出会いがしら	名詞,一般,*,*,*,*,出会いがしら,出会イガシラ,出会イガシラ
上戸	名詞,固有名詞,人名,名,*,*,上戸,上戸,上戸
オンジ	名詞,一般,*,*,*,*,オンジ,オンジ,オンジ
チーチャー	名詞,一般,*,*,*,*,チーチャー,チーチャー,チーチャー
外履き	名詞,一般,*,*,*,*,外履き,外履キ,外履キ
スッキ	名詞,固有名詞,一般,*,*,*,スッキ,スッキ,スッキ
守野	名詞,固有名詞,人名,名,*,*,守野,守野,守野
鵜島	名詞,固有名詞,人名,名,*,*,鵜島,鵜島,鵜島
壱花	名詞,固有名詞,人名,名,*,*,壱花,壱花,壱花
赤目	名詞,固有名詞,人名,名,*,*,赤目,赤目,赤目
佑真	名詞,固有名詞,人名,名,*,*,佑真,佑真,佑真
ゆずりは	名詞,固有名詞,地域,一般,*,*,ゆずりは,ユズリハ,ユズリハ
しゅう	名詞,固有名詞,人名,名,*,*,しゅう,シュウ,シュウ
順風満帆	名詞,一般,*,*,*,*,順風満帆,順風満帆,順風満帆
直帰	名詞,一般,*,*,*,*,直帰,直帰,直帰
井戸	名詞,固有名詞,人名,名,*,*,井戸,井戸,井戸
馬肥	名詞,一般,*,*,*,*,馬肥,馬肥,馬肥
えんどう	名詞,一般,*,*,*,*,えんどう,エンドウ,エンドウ
楊名時	名詞,固有名詞,人名,名,*,*,楊名時,楊名時,楊名時
他の	名詞,固有名詞,人名,名,*,*,他の,他ノ,他ノ
大政	名詞,固有名詞,人名,名,*,*,大政,大政,大政
脂乳	名詞,一般,*,*,*,*,脂乳,脂乳,脂乳
長嶋スパーランド	名詞,固有名詞,一般,*,*,*,長嶋スパーランド,長嶋スパーランド,長嶋スパーランド
孫	名詞,固有名詞,人名,名,*,*,孫,孫,孫
恵梨香	名詞,固有名詞,人名,名,*,*,恵梨香,恵梨香,恵梨香
能年	名詞,固有名詞,人名,名,*,*,能年,能年,能年
GU	名詞,固有名詞,組織,*,*,*,GU,GU,GU
ボーリング	名詞,一般,*,*,*,*,ボーリング,ボーリング,ボーリング
バターン	名詞,一般,*,*,*,*,バターン,バターン,バターン
KY	名詞,一般,*,*,*,*,KY,KY,KY
橋下	名詞,固有名詞,人名,名,*,*,橋下,橋下,橋下
レイトン	名詞,固有名詞,人名,名,*,*,レイトン,レイトン,レイトン
コンクリ	名詞,固有名詞,一般,*,*,*,コンクリ,コンクリ,コンクリ
東小	名詞,固有名詞,組織,*,*,*,東小,東小,東小
淳朗	名詞,固有名詞,人名,名,*,*,淳朗,淳朗,淳朗
千加津	名詞,固有名詞,人名,名,*,*,千加津,千加津,千加津
廣谷	名詞,固有名詞,人名,名,*,*,廣谷,廣谷,廣谷
どつきあい	名詞,一般,*,*,*,*,どつきあい,ドツキアイ,ドツキアイ
組体操	名詞,一般,*,*,*,*,組体操,組体操,組体操
熊中	名詞,固有名詞,組織,*,*,*,熊中,熊中,熊中
南中	名詞,固有名詞,組織,*,*,*,南中,南中,南中
superfly	名詞,固有名詞,組織,*,*,*,superfly,superfly,superfly
夜市	名詞,一般,*,*,*,*,夜市,夜市,夜市
小籠包	名詞,固有名詞,一般,*,*,*,小籠包,小籠包,小籠包
君に届け	名詞,一般,*,*,*,*,君に届け,君ニ届ケ,君ニ届ケ
しー	名詞,固有名詞,人名,名,*,*,しー,シー,シー
八光	名詞,固有名詞,人名,名,*,*,八光,八光,八光
りゅうせい	名詞,固有名詞,人名,名,*,*,りゅうせい,リュウセイ,リュウセイ
ペヤング	名詞,固有名詞,一般,*,*,*,ペヤング,ペヤング,ペヤング
隆盛	名詞,固有名詞,人名,名,*,*,隆盛,隆盛,隆盛
丹波市	名詞,固有名詞,地域,一般,*,*,丹波市,丹波市,丹波市
関関同立	名詞,固有名詞,組織,*,*,*,関関同立,関関同立,関関同立
三公社五現業	名詞,固有名詞,組織,*,*,*,三公社五現業,三公社五現業,三公社五現業
錦織	名詞,固有名詞,人名,名,*,*,錦織,錦織,錦織
朝来	名詞,固有名詞,地域,一般,*,*,朝来,朝来,朝来
明高	名詞,固有名詞,組織,*,*,*,明高,明高,明高
めい	名詞,固有名詞,人名,名,*,*,めい,メイ,メイ
名南	名詞,固有名詞,組織,*,*,*,名南,名南,名南
みゃー	名詞,一般,*,*,*,*,みゃー,ミャー,ミャー
うみゃー	名詞,一般,*,*,*,*,うみゃー,ウミャー,ウミャー
おみゃー	名詞,一般,*,*,*,*,おみゃー,オミャー,オミャー
シンイ	名詞,固有名詞,人名,名,*,*,シンイ,シンイ,シンイ
リショウダイ	名詞,固有名詞,人名,名,*,*,リショウダイ,リショウダイ,リショウダイ
新節	名詞,固有名詞,一般,*,*,*,新節,新節,新節
春月	名詞,一般,*,*,*,*,春月,春月,春月
く	名詞,一般,*,*,*,*,く,ク,ク
三木市	名詞,固有名詞,地域,一般,*,*,三木市,三木市,三木市
ダスキン	名詞,一般,*,*,*,*,ダスキン,ダスキン,ダスキン
三重県	名詞,固有名詞,地域,一般,*,*,三重県,三重県,三重県
ルーブックキューブ	名詞,固有名詞,一般,*,*,*,ルーブックキューブ,ルーブックキューブ,ルーブックキューブ
ブッシュドノエル	名詞,固有名詞,一般,*,*,*,ブッシュドノエル,ブッシュドノエル,ブッシュドノエル
ツインシュー	名詞,一般,*,*,*,*,ツインシュー,ツインシュー,ツインシュー
おこちゃま	名詞,一般,*,*,*,*,おこちゃま,オコチャマ,オコチャマ
シトラスティー	名詞,固有名詞,一般,*,*,*,シトラスティー,シトラスティー,シトラスティー
ガチャ	名詞,一般,*,*,*,*,ガチャ,ガチャ,ガチャ
プログ	名詞,一般,*,*,*,*,プログ,プログ,プログ
SOGO	名詞,固有名詞,一般,*,*,*,SOGO,SOGO,SOGO
イツメン	名詞,一般,*,*,*,*,イツメン,イツメン,イツメン
国試	名詞,一般,*,*,*,*,国試,国試,国試
インディペンデンスデイ	名詞,固有名詞,一般,*,*,*,インディペンデンスデイ,インディペンデンスデイ,インディペンデンスデイ
マット・デイモン	名詞,固有名詞,一般,*,*,*,マット・デイモン,マット・デイモン,マット・デイモン
トランスフォーマー	名詞,固有名詞,一般,*,*,*,トランスフォーマー,トランスフォーマー,トランスフォーマー
ザーグ	名詞,固有名詞,一般,*,*,*,ザーグ,ザーグ,ザーグ
ガトーショコラ	名詞,固有名詞,一般,*,*,*,ガトーショコラ,ガトーショコラ,ガトーショコラ
ケシパール	名詞,固有名詞,一般,*,*,*,ケシパール,ケシパール,ケシパール
ラテ	名詞,一般,*,*,*,*,ラテ,ラテ,ラテ
ファンタジック	名詞,固有名詞,一般,*,*,*,ファンタジック,ファンタジック,ファンタジック
トゥーストゥース	名詞,固有名詞,一般,*,*,*,トゥーストゥース,トゥーストゥース,トゥーストゥース
タニガワ	名詞,固有名詞,一般,*,*,*,タニガワ,タニガワ,タニガワ
プチ	名詞,一般,*,*,*,*,プチ,プチ,プチ
ビーバップ	名詞,固有名詞,一般,*,*,*,ビーバップ,ビーバップ,ビーバップ
トレンディドラマ	名詞,一般,*,*,*,*,トレンディドラマ,トレンディドラマ,トレンディドラマ
アラレ	名詞,固有名詞,一般,*,*,*,アラレ,アラレ,アラレ
バビル	名詞,固有名詞,一般,*,*,*,バビル,バビル,バビル
ピラルク	名詞,固有名詞,一般,*,*,*,ピラルク,ピラルク,ピラルク
イマダ	名詞,固有名詞,一般,*,*,*,イマダ,イマダ,イマダ
紅孔雀	名詞,固有名詞,一般,*,*,*,紅孔雀,紅孔雀,紅孔雀
役満	名詞,一般,*,*,*,*,役満,役満,役満
一括り	名詞,一般,*,*,*,*,一括り,一括リ,一括リ
チョンピー	名詞,固有名詞,一般,*,*,*,チョンピー,チョンピー,チョンピー
ジャンム	名詞,固有名詞,一般,*,*,*,ジャンム,ジャンム,ジャンム
点棒	名詞,一般,*,*,*,*,点棒,点棒,点棒
持ち点	名詞,一般,*,*,*,*,持ち点,持チ点,持チ点
カミチャ	名詞,一般,*,*,*,*,カミチャ,カミチャ,カミチャ
シモチャ	名詞,一般,*,*,*,*,シモチャ,シモチャ,シモチャ
トイチャ	名詞,一般,*,*,*,*,トイチャ,トイチャ,トイチャ
ケンミンショー	名詞,固有名詞,一般,*,*,*,ケンミンショー,ケンミンショー,ケンミンショー
太巻き	名詞,一般,*,*,*,*,太巻き,太巻キ,太巻キ
ガエ	名詞,一般,*,*,*,*,ガエ,ガエ,ガエ
千葉県	名詞,固有名詞,地域,一般,*,*,千葉県,千葉県,千葉県
ロブスター	名詞,一般,*,*,*,*,ロブスター,ロブスター,ロブスター
マンタ	名詞,一般,*,*,*,*,マンタ,マンタ,マンタ
百名山	名詞,固有名詞,地域,一般,*,*,百名山,百名山,百名山
摂南	名詞,固有名詞,一般,*,*,*,摂南,摂南,摂南
フレミング	名詞,固有名詞,人名,名,*,*,フレミング,フレミング,フレミング
スイヘーリーベー	名詞,固有名詞,一般,*,*,*,スイヘーリーベー,スイヘーリーベー,スイヘーリーベー
ボクノフネ	名詞,固有名詞,一般,*,*,*,ボクノフネ,ボクノフネ,ボクノフネ
キャレス	名詞,固有名詞,一般,*,*,*,キャレス,キャレス,キャレス
産近甲龍	名詞,固有名詞,一般,*,*,*,産近甲龍,産近甲龍,産近甲龍
オクトパシー	名詞,固有名詞,一般,*,*,*,オクトパシー,オクトパシー,オクトパシー
エルダー	名詞,固有名詞,一般,*,*,*,エルダー,エルダー,エルダー
ブルーウェーブ	名詞,固有名詞,一般,*,*,*,ブルーウェーブ,ブルーウェーブ,ブルーウェーブ
ザジョブトレーニング	名詞,固有名詞,一般,*,*,*,ザジョブトレーニング,ザジョブトレーニング,ザジョブトレーニング
なな	名詞,固有名詞,人名,名,*,*,なな,ナナ,ナナ
第一高	名詞,固有名詞,一般,*,*,*,第一高,第一高,第一高
三大庭園	名詞,固有名詞,一般,*,*,*,三大庭園,三大庭園,三大庭園
フォー	名詞,一般,*,*,*,*,フォー,フォー,フォー
万博公園	名詞,固有名詞,一般,*,*,*,万博公園,万博公園,万博公園
Amazon	名詞,固有名詞,一般,*,*,*,Amazon,Amazon,Amazon
ちいばあ	名詞,固有名詞,人名,名,*,*,ちいばあ,チイバア,チイバア
チェ・ジウ	名詞,固有名詞,一般,*,*,*,チェ・ジウ,チェ・ジウ,チェ・ジウ
ビク	名詞,一般,*,*,*,*,ビク,ビク,ビク
のぶ姉	名詞,固有名詞,人名,名,*,*,のぶ姉,ノブ姉,ノブ姉
旋	名詞,一般,*,*,*,*,旋,旋,旋
ガイガーカウンター	名詞,一般,*,*,*,*,ガイガーカウンター,ガイガーカウンター,ガイガーカウンター
シンチレーション	名詞,一般,*,*,*,*,シンチレーション,シンチレーション,シンチレーション
ドラフター	名詞,一般,*,*,*,*,ドラフター,ドラフター,ドラフター
キルヒホッフ	名詞,固有名詞,一般,*,*,*,キルヒホッフ,キルヒホッフ,キルヒホッフ
アッセンブラー	名詞,一般,*,*,*,*,アッセンブラー,アッセンブラー,アッセンブラー
フォートナー	名詞,一般,*,*,*,*,フォートナー,フォートナー,フォートナー
ドチップス	名詞,一般,*,*,*,*,ドチップス,ドチップス,ドチップス
ヤカン	名詞,一般,*,*,*,*,ヤカン,ヤカン,ヤカン
白浪五人男	名詞,固有名詞,一般,*,*,*,白浪五人男,白浪五人男,白浪五人男
ぼこ	名詞,一般,*,*,*,*,ぼこ,ボコ,ボコ
アンティック	名詞,固有名詞,一般,*,*,*,アンティック,アンティック,アンティック
西播大会	名詞,固有名詞,一般,*,*,*,西播大会,西播大会,西播大会
代予林ゼミナール	名詞,固有名詞,一般,*,*,*,代予林ゼミナール,代予林ゼミナール,代予林ゼミナール
けやき	名詞,固有名詞,地域,一般,*,*,けやき,ケヤキ,ケヤキ
MOCO	名詞,固有名詞,一般,*,*,*,MOCO,MOCO,MOCO
仔	名詞,一般,*,*,*,*,仔,コ,コ
パレタ	名詞,固有名詞,一般,*,*,*,パレタ,パレタ,パレタ
ヨドバシ	名詞,固有名詞,一般,*,*,*,ヨドバシ,ヨドバシ,ヨドバシ
いなじゅん	名詞,固有名詞,一般,*,*,*,いなじゅん,イナジュン,イナジュン
OJT	名詞,固有名詞,一般,*,*,*,OJT,OJT,OJT
貴さん	名詞,固有名詞,一般,*,*,*,貴さん,貴サン,貴サン
にっちゃん	名詞,一般,*,*,*,*,にっちゃん,ニッチャン,ニッチャン
ルクア	名詞,固有名詞,一般,*,*,*,ルクア,ルクア,ルクア
ダイモン	名詞,固有名詞,一般,*,*,*,ダイモン,ダイモン,ダイモン
ビッツァ	名詞,固有名詞,一般,*,*,*,ビッツァ,ビッツァ,ビッツァ
キャバ	名詞,一般,*,*,*,*,キャバ,キャバ,キャバ
頭高	名詞,一般,*,*,*,*,頭高,頭高,頭高
アイアンウーマン	名詞,固有名詞,一般,*,*,*,アイアンウーマン,アイアンウーマン,アイアンウーマン
ポンデリング	名詞,一般,*,*,*,*,ポンデリング,ポンデリング,ポンデリング
タッセル	名詞,一般,*,*,*,*,タッセル,タッセル,タッセル
マイクローオフィス	名詞,固有名詞,一般,*,*,*,マイクローオフィス,マイクローオフィス,マイクローオフィス
ジャポニカ	名詞,固有名詞,一般,*,*,*,ジャポニカ,ジャポニカ,ジャポニカ
照り焼き	名詞,一般,*,*,*,*,照り焼き,照リ焼キ,照リ焼キ
マルゲ	名詞,固有名詞,一般,*,*,*,マルゲ,マルゲ,マルゲ
タルタルチキン	名詞,固有名詞,一般,*,*,*,タルタルチキン,タルタルチキン,タルタルチキン
ロベルトベニーニ	名詞,固有名詞,人名,名,*,*,ロベルトベニーニ,ロベルトベニーニ,ロベルトベニーニ
ベニーニ	名詞,固有名詞,人名,名,*,*,ベニーニ,ベニーニ,ベニーニ
コザクラインコ	名詞,固有名詞,一般,*,*,*,コザクラインコ,コザクラインコ,コザクラインコ
アルテイメット	名詞,一般,*,*,*,*,アルテイメット,アルテイメット,アルテイメット
ラングドシャー	名詞,固有名詞,一般,*,*,*,ラングドシャー,ラングドシャー,ラングドシャー
アンへル	名詞,固有名詞,一般,*,*,*,アンへル,アンヘル,アンヘル
薄味	名詞,一般,*,*,*,*,薄味,薄味,薄味
イグアス	名詞,固有名詞,一般,*,*,*,イグアス,イグアス,イグアス
サンダーバード	名詞,固有名詞,一般,*,*,*,サンダーバード,サンダーバード,サンダーバード
タビイク	名詞,固有名詞,一般,*,*,*,タビイク,タビイク,タビイク
あらすじ	名詞,一般,*,*,*,*,あらすじ,アラスジ,アラスジ
おとり	名詞,一般,*,*,*,*,おとり,オトリ,オトリ
アンナチュラル	名詞,固有名詞,一般,*,*,*,アンナチュラル,アンナチュラル,アンナチュラル
平昌	名詞,固有名詞,地域,一般,*,*,平昌,平昌,平昌
パシュート	名詞,一般,*,*,*,*,パシュート,パシュート,パシュート
ラウワン	名詞,固有名詞,一般,*,*,*,ラウワン,ラウワン,ラウワン
分院	名詞,一般,*,*,*,*,分院,分院,分院
代車	名詞,一般,*,*,*,*,代車,代車,代車
胴長	名詞,一般,*,*,*,*,胴長,胴長,胴長
ロングコート	名詞,一般,*,*,*,*,ロングコート,ロングコート,ロングコート
パレタス	名詞,固有名詞,一般,*,*,*,パレタス,パレタス,パレタス
毛量	名詞,一般,*,*,*,*,毛量,毛量,毛量
犬種	名詞,一般,*,*,*,*,犬種,犬種,犬種
小型犬	名詞,一般,*,*,*,*,小型犬,小型犬,小型犬
水頭症	名詞,一般,*,*,*,*,水頭症,水頭症,水頭症
でき婚	名詞,一般,*,*,*,*,でき婚,デキ婚,デキ婚
ナオトインティライミ	名詞,固有名詞,一般,*,*,*,ナオトインティライミ,ナオトインティライミ,ナオトインティライミ
アルコアンドピース	名詞,固有名詞,一般,*,*,*,アルコアンドピース,アルコアンドピース,アルコアンドピース
TBS	名詞,固有名詞,一般,*,*,*,TBS,TBS,TBS
Suchmos	名詞,固有名詞,一般,*,*,*,Suchmos,Suchmos,Suchmos
ネバーヤングビーチ	名詞,固有名詞,一般,*,*,*,ネバーヤングビーチ,ネバーヤングビーチ,ネバーヤングビーチ
ラッド	名詞,固有名詞,一般,*,*,*,ラッド,ラッド,ラッド
コイスルオトメ	名詞,固有名詞,一般,*,*,*,コイスルオトメ,コイスルオトメ,コイスルオトメ
タ	名詞,一般,*,*,*,*,タ,タ,タ
四字熟語	名詞,一般,*,*,*,*,四字熟語,四字熟語,四字熟語
シャーロックホームズ	名詞,固有名詞,一般,*,*,*,シャーロックホームズ,シャーロックホームズ,シャーロックホームズ
ファッジ	名詞,固有名詞,一般,*,*,*,ファッジ,ファッジ,ファッジ
アンディ森	名詞,固有名詞,一般,*,*,*,アンディ森,アンディ森,アンディ森
AL	名詞,固有名詞,一般,*,*,*,AL,AL,AL
たまご	名詞,一般,*,*,*,*,たまご,タマゴ,タマゴ
力尽く	名詞,一般,*,*,*,*,力尽く,力尽ク,力尽ク
アウラ	名詞,固有名詞,一般,*,*,*,アウラ,アウラ,アウラ
オールナイトニッポン	名詞,固有名詞,一般,*,*,*,オールナイトニッポン,オールナイトニッポン,オールナイトニッポン
バナナムーン	名詞,固有名詞,一般,*,*,*,バナナムーン,バナナムーン,バナナムーン
玄師	名詞,固有名詞,一般,*,*,*,玄師,玄師,玄師
セロ	名詞,固有名詞,一般,*,*,*,セロ,セロ,セロ
ヨギンニューウェイブス	名詞,固有名詞,一般,*,*,*,ヨギンニューウェイブス,ヨギンニューウェイブス,ヨギンニューウェイブス
シティーポップ	名詞,固有名詞,一般,*,*,*,シティーポップ,シティーポップ,シティーポップ
音数	名詞,一般,*,*,*,*,音数,音数,音数
いきものがかり	名詞,固有名詞,一般,*,*,*,いきものがかり,イキモノガカリ,イキモノガカリ
ブルーバード	名詞,固有名詞,一般,*,*,*,ブルーバード,ブルーバード,ブルーバード
カナブーン	名詞,固有名詞,一般,*,*,*,カナブーン,カナブーン,カナブーン
時系列	名詞,一般,*,*,*,*,時系列,時系列,時系列
死の秘宝	名詞,固有名詞,一般,*,*,*,死の秘宝,死ノ秘宝,死ノ秘宝
モダンタイムズ	名詞,固有名詞,一般,*,*,*,モダンタイムズ,モダンタイムズ,モダンタイムズ
総合政策	名詞,固有名詞,一般,*,*,*,総合政策,総合政策,総合政策
トーガ	名詞,固有名詞,一般,*,*,*,トーガ,トーガ,トーガ
エルゴ	名詞,固有名詞,一般,*,*,*,エルゴ,エルゴ,エルゴ
ATSUSHI	名詞,固有名詞,一般,*,*,*,ATSUSHI,ATSUSHI,ATSUSHI
TAKAHIRO	名詞,固有名詞,一般,*,*,*,TAKAHIRO,TAKAHIRO,TAKAHIRO
三大欲求	名詞,一般,*,*,*,*,三大欲求,三大欲求,三大欲求
バックパック	名詞,一般,*,*,*,*,バックパック,バックパック,バックパック
おない	名詞,一般,*,*,*,*,おない,オナイ,オナイ
ぶっち	名詞,一般,*,*,*,*,ぶっち,ブッチ,ブッチ
中高大	名詞,一般,*,*,*,*,中高大,中高大,中高大
社学	名詞,一般,*,*,*,*,社学,社学,社学
レンジャー	名詞,一般,*,*,*,*,レンジャー,レンジャー,レンジャー
同回	名詞,一般,*,*,*,*,同回,同回,同回
万景峰号	名詞,固有名詞,一般,*,*,*,万景峰号,万景峰号,万景峰号
アボジ	名詞,固有名詞,一般,*,*,*,アボジ,アボジ,アボジ
ルーベ	名詞,固有名詞,地域,一般,*,*,ルーベ,ルーベ,ルーベ
ハルベ	名詞,固有名詞,一般,*,*,*,ハルベ,ハルベ,ハルベ
スタンディングバー	名詞,一般,*,*,*,*,スタンディングバー,スタンディングバー,スタンディングバー
紅ショウガ	名詞,一般,*,*,*,*,紅ショウガ,紅ショウガ,紅ショウガ
明姫	名詞,固有名詞,一般,*,*,*,明姫,明姫,明姫
特秘	名詞,一般,*,*,*,*,特秘,特秘,特秘
ユッケ	名詞,固有名詞,人名,名,*,*,ユッケ,ユッケ,ユッケ
米菓	名詞,一般,*,*,*,*,米菓,ベイカ,ベーカ
高砂コーキング	名詞,固有名詞,一般,*,*,*,高砂コーキング,高砂コーキング,高砂コーキング
にっけ	名詞,固有名詞,一般,*,*,*,にっけ,ニッケ,ニッケ
コーキング	名詞,固有名詞,一般,*,*,*,コーキング,コーキング,コーキング
一宮市	名詞,固有名詞,地域,一般,*,*,一宮市,一宮市,一宮市
ビフカツ	名詞,固有名詞,一般,*,*,*,ビフカツ,ビフカツ,ビフカツ
ステップファザー	名詞,一般,*,*,*,*,ステップファザー,ステップファザー,ステップファザー
ワットアイルン	名詞,固有名詞,一般,*,*,*,ワットアイルン,ワットアイルン,ワットアイルン
三軒両隣	名詞,固有名詞,一般,*,*,*,三軒両隣,三軒両隣,三軒両隣
チャオプラヤ川	名詞,固有名詞,一般,*,*,*,チャオプラヤ川,チャオプラヤ川,チャオプラヤ川
伊弉諾神宮	名詞,固有名詞,一般,*,*,*,伊弉諾神宮,伊弉諾神宮,伊弉諾神宮
丸顔	名詞,固有名詞,一般,*,*,*,丸顔,丸顔,丸顔
ショトメール	名詞,固有名詞,一般,*,*,*,ショトメール,ショトメール,ショトメール
ジャックアンドベッティ	名詞,固有名詞,一般,*,*,*,ジャックアンドベッティ,ジャックアンドベッティ,ジャックアンドベッティ
Cメール	名詞,一般,*,*,*,*,Cメール,Cメール,Cメール
ジンジョハンメ	名詞,固有名詞,一般,*,*,*,ジンジョハンメ,ジンジョハンメ,ジンジョハンメ
テッキョン	名詞,固有名詞,人名,名,*,*,テッキョン,テッキョン,テッキョン
ホテルサンルート	名詞,固有名詞,一般,*,*,*,ホテルサンルート,ホテルサンルート,ホテルサンルート
チョソンサラン	名詞,固有名詞,一般,*,*,*,チョソンサラン,チョソンサラン,チョソンサラン
エバラ	名詞,固有名詞,一般,*,*,*,エバラ,エバラ,エバラ
ハンメ	名詞,固有名詞,一般,*,*,*,ハンメ,ハンメ,ハンメ
話し	名詞,一般,*,*,*,*,話し,話シ,話シ
陰キャ	名詞,一般,*,*,*,*,陰キャ,陰キャ,陰キャ
ホクセイ社	名詞,固有名詞,一般,*,*,*,ホクセイ社,ホクセイ社,ホクセイ社
ヒョン	名詞,固有名詞,人名,名,*,*,ヒョン,ヒョン,ヒョン
リンプル	名詞,固有名詞,一般,*,*,*,リンプル,リンプル,リンプル
オモニ	名詞,一般,*,*,*,*,オモニ,オモニ,オモニ
ヒョニン	名詞,固有名詞,人名,名,*,*,ヒョニン,ヒョニン,ヒョニン
アンポンタン	名詞,一般,*,*,*,*,アンポンタン,アンポンタン,アンポンタン
エルネスパーク	名詞,固有名詞,一般,*,*,*,エルネスパーク,エルネスパーク,エルネスパーク
ひね屋	名詞,固有名詞,一般,*,*,*,ひね屋,ヒネ屋,ヒネ屋
ひねどり	名詞,固有名詞,一般,*,*,*,ひねどり,ヒネドリ,ヒネドリ
幸助	名詞,固有名詞,人名,名,*,*,幸助,幸助,幸助
ベッタ	名詞,一般,*,*,*,*,ベッタ,ベッタ,ベッタ
MVP	名詞,一般,*,*,*,*,MVP,MVP,MVP
MBA	名詞,一般,*,*,*,*,MBA,MBA,MBA
さこい	名詞,固有名詞,一般,*,*,*,さこい,サコイ,サコイ
大阪成蹊大学	名詞,固有名詞,組織,*,*,*,大阪成蹊大学,大阪成蹊大学,大阪成蹊大学
成蹊	名詞,固有名詞,組織,*,*,*,成蹊,成蹊,成蹊
めぐ	名詞,固有名詞,人名,名,*,*,めぐ,メグ,メグ
大阪成蹊	名詞,固有名詞,組織,*,*,*,大阪成蹊,大阪成蹊,大阪成蹊
慶應大学	名詞,固有名詞,組織,*,*,*,慶應大学,慶應大学,慶應大学
慶應	名詞,固有名詞,組織,*,*,*,慶應,慶應,慶應
おやつ	名詞,一般,*,*,*,*,おやつ,オヤツ,オヤツ
